# Normalized	8239.0 eV	Empty
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517372972275117804e-01	0.000000000000000000e+00	nan
1.683322765328058579e-01	0.000000000000000000e+00	nan
1.849272558380999354e-01	0.000000000000000000e+00	nan
2.015222351433940129e-01	0.000000000000000000e+00	nan
2.181172144486880904e-01	0.000000000000000000e+00	nan
2.347121937539821679e-01	0.000000000000000000e+00	nan
2.513071730592763009e-01	0.000000000000000000e+00	nan
2.679021523645703784e-01	0.000000000000000000e+00	nan
2.844971316698644559e-01	0.000000000000000000e+00	nan
3.010921109751585334e-01	0.000000000000000000e+00	nan
3.176870902804526109e-01	0.000000000000000000e+00	nan
3.342820695857466884e-01	0.000000000000000000e+00	nan
3.508770488910407659e-01	0.000000000000000000e+00	nan
3.674720281963348434e-01	0.000000000000000000e+00	nan
3.840670075016289209e-01	0.000000000000000000e+00	nan
4.006619868069229984e-01	0.000000000000000000e+00	nan
4.172569661122170759e-01	0.000000000000000000e+00	nan
4.338519454175111534e-01	0.000000000000000000e+00	nan
4.504469247228052309e-01	0.000000000000000000e+00	nan
4.670419040280993084e-01	0.000000000000000000e+00	nan
4.836368833333933859e-01	0.000000000000000000e+00	nan
5.002318626386874634e-01	0.000000000000000000e+00	nan
5.168268419439815409e-01	0.000000000000000000e+00	nan
5.334218212492756184e-01	0.000000000000000000e+00	nan
5.500168005545698069e-01	0.000000000000000000e+00	nan
5.666117798598637734e-01	0.000000000000000000e+00	nan
5.832067591651579619e-01	0.000000000000000000e+00	nan
5.998017384704519284e-01	0.000000000000000000e+00	nan
6.163967177757461169e-01	0.000000000000000000e+00	nan
6.329916970810400834e-01	0.000000000000000000e+00	nan
6.495866763863342719e-01	0.000000000000000000e+00	nan
6.661816556916282384e-01	0.000000000000000000e+00	nan
6.827766349969224269e-01	0.000000000000000000e+00	nan
6.993716143022163934e-01	0.000000000000000000e+00	nan
7.159665936075105819e-01	0.000000000000000000e+00	nan
7.325615729128045484e-01	0.000000000000000000e+00	nan
7.491565522180987369e-01	0.000000000000000000e+00	nan
7.657515315233927033e-01	0.000000000000000000e+00	nan
7.823465108286868919e-01	0.000000000000000000e+00	nan
7.989414901339808583e-01	0.000000000000000000e+00	nan
8.155364694392750469e-01	0.000000000000000000e+00	nan
8.321314487445690133e-01	0.000000000000000000e+00	nan
8.487264280498632019e-01	0.000000000000000000e+00	nan
8.653214073551571683e-01	0.000000000000000000e+00	nan
8.819163866604513569e-01	0.000000000000000000e+00	nan
8.985113659657453233e-01	0.000000000000000000e+00	nan
9.151063452710395119e-01	0.000000000000000000e+00	nan
9.317013245763334783e-01	0.000000000000000000e+00	nan
9.482963038816276669e-01	0.000000000000000000e+00	nan
9.648912831869218554e-01	0.000000000000000000e+00	nan
9.814862624922158219e-01	0.000000000000000000e+00	nan
9.980812417975100104e-01	0.000000000000000000e+00	nan
1.014676221102803977e+00	0.000000000000000000e+00	nan
1.031271200408098165e+00	0.000000000000000000e+00	nan
1.047866179713392132e+00	0.000000000000000000e+00	nan
1.064461159018686320e+00	0.000000000000000000e+00	nan
1.081056138323980287e+00	0.000000000000000000e+00	nan
1.097651117629274475e+00	0.000000000000000000e+00	nan
1.114246096934568442e+00	0.000000000000000000e+00	nan
1.130841076239862630e+00	0.000000000000000000e+00	nan
1.147436055545156597e+00	0.000000000000000000e+00	nan
1.164031034850450563e+00	0.000000000000000000e+00	nan
1.180626014155744752e+00	0.000000000000000000e+00	nan
1.197220993461038718e+00	0.000000000000000000e+00	nan
1.213815972766332907e+00	0.000000000000000000e+00	nan
1.230410952071627095e+00	0.000000000000000000e+00	nan
1.247005931376921062e+00	0.000000000000000000e+00	nan
1.263600910682215250e+00	0.000000000000000000e+00	nan
1.280195889987509217e+00	0.000000000000000000e+00	nan
1.296790869292803405e+00	0.000000000000000000e+00	nan
1.313385848598097372e+00	0.000000000000000000e+00	nan
1.329980827903391560e+00	0.000000000000000000e+00	nan
1.346575807208685527e+00	0.000000000000000000e+00	nan
1.363170786513979715e+00	0.000000000000000000e+00	nan
1.379765765819273682e+00	0.000000000000000000e+00	nan
1.396360745124567870e+00	0.000000000000000000e+00	nan
1.412955724429861837e+00	0.000000000000000000e+00	nan
1.429550703735156025e+00	0.000000000000000000e+00	nan
1.446145683040449992e+00	0.000000000000000000e+00	nan
1.462740662345744180e+00	0.000000000000000000e+00	nan
1.479335641651038147e+00	0.000000000000000000e+00	nan
1.495930620956332335e+00	0.000000000000000000e+00	nan
1.512525600261626302e+00	0.000000000000000000e+00	nan
