# Normalized	8304.0 eV	AgBeh
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.529344028781202680e-01	6.428203735351562500e+02	6.427704010930553657e+00
1.696603047191850566e-01	4.671380310058593750e+02	3.034350750151457721e+00
1.863862065602498452e-01	3.310310363769531250e+02	1.974415176051454779e+00
2.031121084013146616e-01	2.388727416992187500e+02	1.417409633493682541e+00
2.198380102423794225e-01	1.746662597656250000e+02	1.045985052964493400e+00
2.365639120834442388e-01	1.327635650634765625e+02	8.002388024869461214e-01
2.532898139245089997e-01	1.048827514648437500e+02	6.367873965764733191e-01
2.700157157655738160e-01	8.213268280029296875e+01	5.588474169867794217e-01
2.867416176066386324e-01	6.515056610107421875e+01	4.888508639634867037e-01
3.034675194477033933e-01	5.219672775268554688e+01	4.300265389687881745e-01
3.201934212887681541e-01	4.258431243896484375e+01	3.841150190737145920e-01
3.369193231298329705e-01	3.515803527832031250e+01	3.374666070736956902e-01
3.536452249708977869e-01	2.922105216979980469e+01	2.892467035181368051e-01
3.703711268119626032e-01	2.475050544738769531e+01	2.555146720539129279e-01
3.870970286530273641e-01	2.097898864746093750e+01	2.272787291426055234e-01
4.038229304940921249e-01	1.790434837341308594e+01	2.029233757253655901e-01
4.205488323351569413e-01	1.549154186248779297e+01	1.831704186619317609e-01
4.372747341762217577e-01	1.345762348175048828e+01	1.665716070080618949e-01
4.540006360172865185e-01	1.179210662841796875e+01	1.523148362882869034e-01
4.707265378583513349e-01	1.037032222747802734e+01	1.397724836425201511e-01
4.874524396994160957e-01	9.145579338073730469e+00	1.286009114108124796e-01
5.041783415404809121e-01	8.123332023620605469e+00	1.184725680875238912e-01
5.209042433815456175e-01	7.297859668731689453e+00	1.098771059906082925e-01
5.376301452226104338e-01	6.555224418640136719e+00	1.022729247199637842e-01
5.543560470636752502e-01	5.857810020446777344e+00	9.499752861219409872e-02
5.710819489047400666e-01	5.281090259552001953e+00	9.098296665393179605e-02
5.878078507458048829e-01	4.822131633758544922e+00	8.763553336498421109e-02
6.045337525868696993e-01	4.389037132263183594e+00	8.356623887656534910e-02
6.212596544279345157e-01	4.058808803558349609e+00	8.008097367388719579e-02
6.379855562689992210e-01	3.748578310012817383e+00	7.629842988257866387e-02
6.547114581100639263e-01	3.469248771667480469e+00	7.263365514009904877e-02
6.714373599511287427e-01	3.235525369644165039e+00	6.968510904848623788e-02
6.881632617921935591e-01	3.045786380767822266e+00	6.721067023884928771e-02
7.048891636332583754e-01	2.868171453475952148e+00	6.483335906160719864e-02
7.216150654743231918e-01	2.695188760757446289e+00	6.126301253622928183e-02
7.383409673153880082e-01	2.589415550231933594e+00	5.807744597032987038e-02
7.550668691564528245e-01	2.489489316940307617e+00	5.575750729381429016e-02
7.717927709975176409e-01	2.407154321670532227e+00	5.393888873328047534e-02
7.885186728385824573e-01	2.313632249832153320e+00	5.227812989048131326e-02
8.052445746796470516e-01	2.263033151626586914e+00	5.101559334417794106e-02
8.219704765207118680e-01	2.218940258026123047e+00	4.982151632062839508e-02
8.386963783617766843e-01	2.241329431533813477e+00	4.942544524746921714e-02
8.554222802028415007e-01	2.268871545791625977e+00	4.912317207705486910e-02
