# Normalized	AgBeh	7000.0 eV
# q in nm-1	I in cm-1	poisson_error
1.200474738891652793e+00	2.311458110809326172e+00	3.930061709635578743e-02
1.214574156907984648e+00	1.916716337203979492e+00	3.552444333929755810e-02
1.228673574924316503e+00	1.622621774673461914e+00	3.247496795951615445e-02
1.242772992940648136e+00	1.392363190650939941e+00	2.989275285185101147e-02
1.256872410956979991e+00	1.229886174201965332e+00	2.792949625709677253e-02
1.270971828973311624e+00	1.091170668601989746e+00	2.616121125614620513e-02
1.285071246989643479e+00	9.767932891845703125e-01	2.462466362443894649e-02
1.299170665005975334e+00	8.925010561943054199e-01	2.341864784711666578e-02
1.313270083022306967e+00	8.143098354339599609e-01	2.225541750978541136e-02
1.327369501038638822e+00	7.406215071678161621e-01	2.112422280786405149e-02
1.341468919054970454e+00	6.860262155532836914e-01	2.023257159539854425e-02
1.355568337071302309e+00	6.429426074028015137e-01	1.947026703857428903e-02
1.369667755087634164e+00	6.062137484550476074e-01	1.877125771437511415e-02
1.383767173103965797e+00	5.723544955253601074e-01	1.806616073843957462e-02
1.397866591120297652e+00	5.362976193428039551e-01	1.730055211394230380e-02
1.411966009136629285e+00	5.066233873367309570e-01	1.664420185600578098e-02
1.426065427152961140e+00	4.814656078815460205e-01	1.608004403908097624e-02
1.440164845169292995e+00	4.566815197467803955e-01	1.552315237934508325e-02
1.454264263185624628e+00	4.409694373607635498e-01	1.512840836334884524e-02
1.468363681201956483e+00	4.245205819606781006e-01	1.471024715114858245e-02
1.482463099218288116e+00	4.119714498519897461e-01	1.436725760666114973e-02
1.496562517234619971e+00	3.926233351230621338e-01	1.391118715159655669e-02
1.510661935250951826e+00	3.762518167495727539e-01	1.351570887747988343e-02
1.524761353267283459e+00	3.712434172630310059e-01	1.334393055084048992e-02
1.538860771283615314e+00	3.539187908172607422e-01	1.295665925067514615e-02
1.552960189299947169e+00	3.441373109817504883e-01	1.270867591387894215e-02
1.567059607316278802e+00	3.342118263244628906e-01	1.246149040877808992e-02
1.581159025332610657e+00	3.266431987285614014e-01	1.225250600518992296e-02
1.595258443348942290e+00	3.230297863483428955e-01	1.212220843111971175e-02
1.609357861365274145e+00	3.113916516304016113e-01	1.184083281133892739e-02
1.623457279381606000e+00	3.064233362674713135e-01	1.168961417273849286e-02
1.637556697397937633e+00	2.981162071228027344e-01	1.147206232103559383e-02
1.651656115414269488e+00	2.952019870281219482e-01	1.135959439528233701e-02
1.665755533430601121e+00	2.928160429000854492e-01	1.125909487984740921e-02
1.679854951446932976e+00	2.829211354255676270e-01	1.101436054648545319e-02
1.693954369463264831e+00	2.785177826881408691e-01	1.087665398603705931e-02
1.708053787479596464e+00	2.746477127075195312e-01	1.075193185704186732e-02
1.722153205495928319e+00	2.691431641578674316e-01	1.059387508127689927e-02
1.736252623512259952e+00	2.655448019504547119e-01	1.047683266926252056e-02
1.750352041528591807e+00	2.625078856945037842e-01	1.036856229041349144e-02
1.764451459544923662e+00	2.600744068622589111e-01	1.027658233678798577e-02
1.778550877561255295e+00	2.592240571975708008e-01	1.021355503173968123e-02
1.792650295577587150e+00	2.553936243057250977e-01	1.009433960351331649e-02
1.806749713593919004e+00	2.519648373126983643e-01	9.981866987604863170e-03
1.820849131610250637e+00	2.516166865825653076e-01	9.933888813930326009e-03
1.834948549626582492e+00	2.553532421588897705e-01	9.966844160587030529e-03
1.849047967642914125e+00	2.536225020885467529e-01	9.891751146557182031e-03
1.863147385659245980e+00	2.500395178794860840e-01	9.779678258585524503e-03
1.877246803675577835e+00	2.565491199493408203e-01	9.865064170687474349e-03
1.891346221691909468e+00	2.577518522739410400e-01	9.849844013364625339e-03
1.905445639708241323e+00	2.622511088848114014e-01	9.895634302389318820e-03
1.919545057724572956e+00	2.738269865512847900e-01	1.007477555519113548e-02
1.933644475740904811e+00	2.849390208721160889e-01	1.023814200885286678e-02
1.947743893757236666e+00	3.004727363586425781e-01	1.047643527725589628e-02
1.961843311773568299e+00	3.169608414173126221e-01	1.072191258521185651e-02
1.975942729789900154e+00	3.488957881927490234e-01	1.121172623047939944e-02
1.990042147806231787e+00	3.807597756385803223e-01	1.167483788633406037e-02
2.004141565822563642e+00	4.391998946666717529e-01	1.250419153524997759e-02
2.018240983838895275e+00	5.137922763824462891e-01	1.347286963780386544e-02
2.032340401855226908e+00	6.215229034423828125e-01	1.477360556877195356e-02
2.046439819871558985e+00	7.692964076995849609e-01	1.640678563247739349e-02
2.060539237887890618e+00	9.934906959533691406e-01	1.862593624799006864e-02
2.074638655904222251e+00	1.329614520072937012e+00	2.154474291597055849e-02
2.088738073920554328e+00	1.808956623077392578e+00	2.533502203730527563e-02
2.102837491936885961e+00	2.516398906707763672e+00	3.030068593773875205e-02
2.116936909953217594e+00	3.462553501129150391e+00	3.587132873518898701e-02
2.131036327969549227e+00	4.607873916625976562e+00	4.173249935218844436e-02
2.145135745985881304e+00	5.706479072570800781e+00	4.675994354623912164e-02
2.159235164002212937e+00	6.170668125152587891e+00	4.878372140537894780e-02
2.173334582018544570e+00	5.412875175476074219e+00	4.556458610499224127e-02
2.187434000034876203e+00	3.900133609771728516e+00	3.841213441034622977e-02
2.201533418051208280e+00	2.560643196105957031e+00	3.088103641935774010e-02
2.215632836067539913e+00	1.685831427574157715e+00	2.474534734173846479e-02
2.229732254083871545e+00	1.166378259658813477e+00	2.019928076651147930e-02
2.243831672100203622e+00	8.453454971313476562e-01	1.700507890638127198e-02
2.257931090116535255e+00	6.509251594543457031e-01	1.478233021243054862e-02
2.272030508132866888e+00	5.136829018592834473e-01	1.302870682901910958e-02
2.286129926149198965e+00	4.322166740894317627e-01	1.187190369357129203e-02
2.300229344165530598e+00	3.688764870166778564e-01	1.090011333806702697e-02
2.314328762181862231e+00	3.278211355209350586e-01	1.021765511918475318e-02
2.328428180198194308e+00	2.968656122684478760e-01	9.674133421263695493e-03
2.342527598214525941e+00	2.747431993484497070e-01	9.261053792367943821e-03
2.356627016230857574e+00	2.540360987186431885e-01	8.864298998015903916e-03
2.370726434247189207e+00	2.389265745878219604e-01	8.559790313922814239e-03
2.384825852263521284e+00	2.268273234367370605e-01	8.304303727894117235e-03
2.398925270279852917e+00	2.134531289339065552e-01	8.022052248406101246e-03
2.413024688296184550e+00	2.055750191211700439e-01	7.838836841995501167e-03
2.427124106312516627e+00	1.966035515069961548e-01	7.635480295780026384e-03
2.441223524328848260e+00	1.916206181049346924e-01	7.509703143863579421e-03
2.455322942345179893e+00	1.839388161897659302e-01	7.329401576468861507e-03
2.469422360361511970e+00	1.777103394269943237e-01	7.177082139992087793e-03
2.483521778377843603e+00	1.755800694227218628e-01	7.108684367022093803e-03
2.497621196394175236e+00	1.721640527248382568e-01	7.013355542964304357e-03
2.511720614410506869e+00	1.681826114654541016e-01	6.907320553417844317e-03
2.525820032426838946e+00	1.669465601444244385e-01	6.858323543566060589e-03
2.539919450443170579e+00	1.642787903547286987e-01	6.780070939484700125e-03
2.554018868459502212e+00	1.609388738870620728e-01	6.687062799279182464e-03
2.568118286475834289e+00	1.565295308828353882e-01	6.573270252496120347e-03
2.582217704492165922e+00	1.564851701259613037e-01	6.549942809180672558e-03
2.596317122508497555e+00	1.540201604366302490e-01	6.477755698579032266e-03
2.610416540524829632e+00	1.527577340602874756e-01	6.429958782800593818e-03
2.624515958541161265e+00	1.527988314628601074e-01	6.488549902825505034e-03
2.638615376557492898e+00	1.500342786312103271e-01	6.461513455119326232e-03
2.652714794573824975e+00	1.490258723497390747e-01	6.460721228825925221e-03
2.666814212590156608e+00	1.480148881673812866e-01	6.452953651747131945e-03
2.680913630606488240e+00	1.465575695037841797e-01	6.431513796493039739e-03
2.695013048622819873e+00	1.480394303798675537e-01	6.471327088685856210e-03
2.709112466639151950e+00	1.465053409337997437e-01	6.441734695385069147e-03
2.723211884655483583e+00	1.433740854263305664e-01	6.374617425674269228e-03
2.737311302671815216e+00	1.463024467229843140e-01	6.441904424591005617e-03
2.751410720688147293e+00	1.464986950159072876e-01	6.378918978658871738e-03
2.765510138704478926e+00	1.441497504711151123e-01	6.265782680087476041e-03
2.779609556720810559e+00	1.459511518478393555e-01	6.261238305932882893e-03
2.793708974737142636e+00	1.469267159700393677e-01	6.246822323072163605e-03
2.807808392753474269e+00	1.477701216936111450e-01	6.233957216451928469e-03
2.821907810769805902e+00	1.476251035928726196e-01	6.202572463038624750e-03
2.836007228786137535e+00	1.492830812931060791e-01	6.211140948340626057e-03
2.850106646802469612e+00	1.522876471281051636e-01	6.248885328639999792e-03
2.864206064818801245e+00	1.522596329450607300e-01	6.224831522142271374e-03
2.878305482835132878e+00	1.532866954803466797e-01	6.222972009155244497e-03
2.892404900851464955e+00	1.548539400100708008e-01	6.232373867343440378e-03
2.906504318867796588e+00	1.567683815956115723e-01	6.250136060200758327e-03
2.920603736884128221e+00	1.610876470804214478e-01	6.315195043453021573e-03
