# Normalized	7000 eV	223
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.289189675265935975e-01	7.497077178955078125e+01	2.304121909996632578e+00
1.430183855482416166e-01	7.036794281005859375e+01	1.289215832548864071e+00
1.571178035698896636e-01	6.491362762451171875e+01	9.848973841110763017e-01
1.712172215915376827e-01	5.915952682495117188e+01	8.116337167026858035e-01
1.853166396131857019e-01	5.291423034667968750e+01	6.745427498005882594e-01
1.994160576348337210e-01	4.715721130371093750e+01	5.674444628083101794e-01
2.135154756564817680e-01	4.181690597534179688e+01	4.838162277167319947e-01
2.276148936781297871e-01	3.649453353881835938e+01	4.449825991161961425e-01
2.417143116997778063e-01	3.174981117248535156e+01	4.051040662448558427e-01
2.558137297214258532e-01	2.718439292907714844e+01	3.654725687563279979e-01
2.699131477430738446e-01	2.309551239013671875e+01	3.299602492133287268e-01
2.840125657647218915e-01	1.945745658874511719e+01	2.908148737282655327e-01
2.981119837863699384e-01	1.623714828491210938e+01	2.488125393615810144e-01
3.122114018080179854e-01	1.340505599975585938e+01	2.153657736409972934e-01
3.263108198296659768e-01	1.089648437500000000e+01	1.858911778071048737e-01
3.404102378513140237e-01	8.728476524353027344e+00	1.592363631922845690e-01
3.545096558729620151e-01	6.920042514801025391e+00	1.361733936712723192e-01
3.686090738946100620e-01	5.412429332733154297e+00	1.162286285256015489e-01
3.827084919162581089e-01	4.172724246978759766e+00	9.861020946292037292e-02
3.968079099379061003e-01	3.185035705566406250e+00	8.342437610394937142e-02
4.109073279595541472e-01	2.400232553482055664e+00	7.024392796965739372e-02
4.250067459812021942e-01	1.806039333343505859e+00	5.903051645979007223e-02
4.391061640028501856e-01	1.361319541931152344e+00	4.974575277174858590e-02
4.532055820244982325e-01	1.038987159729003906e+00	4.238838055985244546e-02
4.673050000461462794e-01	8.137493729591369629e-01	3.666454110551842921e-02
4.814044180677942708e-01	6.656647324562072754e-01	3.329727344171021231e-02
4.955038360894423177e-01	5.743398070335388184e-01	3.108605001960003042e-02
5.096032541110904202e-01	5.196186304092407227e-01	2.951311890376058511e-02
5.237026721327383560e-01	4.930998384952545166e-01	2.864024972285955650e-02
5.378020901543864030e-01	4.824240207672119141e-01	2.809809080013400337e-02
5.519015081760344499e-01	4.789654314517974854e-01	2.772674579043164778e-02
5.660009261976823858e-01	4.764821827411651611e-01	2.749179687432934394e-02
5.801003442193304327e-01	4.739046394824981689e-01	2.726987465741160729e-02
5.941997622409784796e-01	4.664951562881469727e-01	2.690304765577546803e-02
6.082991802626265265e-01	4.534931182861328125e-01	2.587195887625405241e-02
6.223985982842745734e-01	4.377190470695495605e-01	2.459561144715378955e-02
6.364980163059226204e-01	4.163624644279479980e-01	2.348282976321010643e-02
6.505974343275706673e-01	3.918693065643310547e-01	2.239847917233268176e-02
6.646968523492186032e-01	3.650227487087249756e-01	2.135158018987180426e-02
6.787962703708666501e-01	3.368613421916961670e-01	2.021459563087618302e-02
6.928956883925146970e-01	3.076086342334747314e-01	1.902500005821071427e-02
7.069951064141627439e-01	2.806544899940490723e-01	1.790851189567983434e-02
7.210945244358107908e-01	2.555005848407745361e-01	1.685113893672482779e-02
7.351939424574588378e-01	2.316097170114517212e-01	1.582812532704671107e-02
7.492933604791067737e-01	2.106539160013198853e-01	1.489739118015575084e-02
7.633927785007548206e-01	1.920518726110458374e-01	1.404696147068425736e-02
