# Normalized	8973.0 eV	Empty Cap
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.652559244913754666e-01	-1.683604598045349121e+00	nan
1.833293896666008949e-01	-1.395035862922668457e+00	nan
2.014028548418262954e-01	-1.143142461776733398e+00	nan
2.194763200170517237e-01	-9.646356105804443359e-01	nan
2.375497851922771519e-01	-8.403535485267639160e-01	nan
2.556232503675025525e-01	-7.471319437026977539e-01	nan
2.736967155427280085e-01	-6.852683424949645996e-01	nan
2.917701807179534090e-01	-6.347829103469848633e-01	nan
3.098436458931788096e-01	-5.964066386222839355e-01	nan
3.279171110684042656e-01	-5.640251636505126953e-01	nan
3.459905762436297216e-01	-5.378730297088623047e-01	nan
3.640640414188550666e-01	-5.165788531303405762e-01	nan
3.821375065940805227e-01	-4.993310272693634033e-01	nan
4.002109717693059787e-01	-4.824180006980895996e-01	nan
4.182844369445313237e-01	-4.716882705688476562e-01	nan
4.363579021197567798e-01	-4.595886766910552979e-01	nan
4.544313672949822358e-01	-4.493031203746795654e-01	nan
4.725048324702075808e-01	-4.407452344894409180e-01	nan
4.905782976454330369e-01	-4.334651827812194824e-01	nan
5.086517628206584929e-01	-4.259464740753173828e-01	nan
5.267252279958839489e-01	-4.187237322330474854e-01	nan
5.447986931711092939e-01	-4.129773080348968506e-01	nan
5.628721583463347500e-01	-4.064277708530426025e-01	nan
5.809456235215602060e-01	-4.011560380458831787e-01	nan
5.990190886967855510e-01	-3.965668082237243652e-01	nan
6.170925538720110071e-01	-3.908248841762542725e-01	nan
6.351660190472364631e-01	-3.854352235794067383e-01	nan
6.532394842224618081e-01	-3.812453150749206543e-01	nan
6.713129493976872642e-01	-3.759700357913970947e-01	nan
6.893864145729127202e-01	-3.717296421527862549e-01	nan
7.074598797481381762e-01	-3.680255115032196045e-01	nan
7.255333449233635212e-01	-3.640542924404144287e-01	nan
7.436068100985889773e-01	-3.610481321811676025e-01	nan
7.616802752738144333e-01	-3.575093746185302734e-01	nan
7.797537404490397783e-01	-3.549195826053619385e-01	nan
7.978272056242652344e-01	-3.513170182704925537e-01	nan
8.159006707994906904e-01	-3.478733003139495850e-01	nan
8.339741359747160354e-01	-3.445133566856384277e-01	nan
8.520476011499414914e-01	-3.413906693458557129e-01	nan
8.701210663251669475e-01	-3.382336795330047607e-01	nan
8.881945315003924035e-01	-3.350562453269958496e-01	nan
9.062679966756177485e-01	-3.327265679836273193e-01	nan
9.243414618508432046e-01	-3.298730552196502686e-01	nan
9.424149270260686606e-01	-3.267887234687805176e-01	nan
9.604883922012940056e-01	-3.235791623592376709e-01	nan
9.785618573765194617e-01	-3.209563791751861572e-01	nan
9.966353225517449177e-01	-3.178791701793670654e-01	nan
1.014708787726970263e+00	-3.146878778934478760e-01	nan
1.032782252902195719e+00	-3.123618662357330322e-01	nan
1.050855718077421175e+00	-3.092256784439086914e-01	nan
1.068929183252646409e+00	-3.066850602626800537e-01	nan
1.087002648427871865e+00	-3.041571974754333496e-01	nan
1.105076113603097321e+00	-3.013687729835510254e-01	nan
1.123149578778322777e+00	-2.991335093975067139e-01	nan
1.141223043953548233e+00	-2.960948348045349121e-01	nan
1.159296509128773689e+00	-2.939939498901367188e-01	nan
1.177369974303998923e+00	-2.917054891586303711e-01	nan
1.195443439479224379e+00	-2.893122732639312744e-01	nan
1.213516904654449835e+00	-2.864705920219421387e-01	nan
1.231590369829675291e+00	-2.847238183021545410e-01	nan
1.249663835004900747e+00	-2.819446325302124023e-01	nan
1.267737300180125981e+00	-2.798881232738494873e-01	nan
1.285810765355351437e+00	-2.771707475185394287e-01	nan
1.303884230530576893e+00	-2.747133970260620117e-01	nan
1.321957695705802349e+00	-2.719751000404357910e-01	nan
1.340031160881027805e+00	-2.698886692523956299e-01	nan
1.358104626056253261e+00	-2.672695815563201904e-01	nan
1.376178091231478717e+00	-2.649059295654296875e-01	nan
1.394251556406703951e+00	-2.630895674228668213e-01	nan
1.412325021581929407e+00	-2.604286968708038330e-01	nan
1.430398486757154863e+00	-2.580840587615966797e-01	nan
1.448471951932380319e+00	-2.560988068580627441e-01	nan
1.466545417107605775e+00	-2.539088726043701172e-01	nan
1.484618882282831231e+00	-2.521145939826965332e-01	nan
1.502692347458056465e+00	-2.502439916133880615e-01	nan
1.520765812633281922e+00	-2.477593570947647095e-01	nan
1.538839277808507378e+00	-2.454821914434432983e-01	nan
1.556912742983732834e+00	-2.435110509395599365e-01	nan
1.574986208158958290e+00	-2.410624027252197266e-01	nan
1.593059673334183746e+00	-2.388716340065002441e-01	nan
1.611133138509409202e+00	-2.365696281194686890e-01	nan
1.629206603684634436e+00	-2.342271506786346436e-01	nan
1.647280068859859892e+00	-2.318500727415084839e-01	nan
1.665353534035085348e+00	-2.298054695129394531e-01	nan
1.683426999210310804e+00	-2.274577617645263672e-01	nan
1.701500464385536260e+00	-2.255495041608810425e-01	nan
1.719573929560761716e+00	-2.231233119964599609e-01	nan
1.737647394735986950e+00	-2.208897024393081665e-01	nan
1.755720859911212406e+00	-2.188477665185928345e-01	nan
1.773794325086437862e+00	-2.170531600713729858e-01	nan
1.791867790261663318e+00	-2.147861272096633911e-01	nan
1.809941255436888774e+00	-2.122907042503356934e-01	nan
1.828014720612114230e+00	-2.098606079816818237e-01	nan
1.846088185787339464e+00	-2.076464742422103882e-01	nan
1.864161650962564920e+00	-2.055244445800781250e-01	nan
1.882235116137790376e+00	-2.039377838373184204e-01	nan
1.900308581313015832e+00	-2.018691599369049072e-01	nan
1.918382046488241288e+00	-1.993426084518432617e-01	nan
1.936455511663466744e+00	-1.971912831068038940e-01	nan
1.954528976838692200e+00	-1.950856149196624756e-01	nan
1.972602442013917434e+00	-1.928858608007431030e-01	nan
1.990675907189142890e+00	-1.907195001840591431e-01	nan
2.008749372364368568e+00	-1.882221251726150513e-01	nan
2.026822837539593802e+00	-1.862144470214843750e-01	nan
2.044896302714819480e+00	-1.843031048774719238e-01	nan
2.062969767890044714e+00	-1.820634156465530396e-01	nan
2.081043233065269948e+00	-1.796610653400421143e-01	nan
2.099116698240495626e+00	-1.775629967451095581e-01	nan
2.117190163415720860e+00	-1.756017506122589111e-01	nan
2.135263628590946539e+00	-1.734165102243423462e-01	nan
2.153337093766171773e+00	-1.714461445808410645e-01	nan
2.171410558941397451e+00	-1.695899814367294312e-01	nan
2.189484024116622685e+00	-1.673276126384735107e-01	nan
2.207557489291848363e+00	-1.653573811054229736e-01	nan
2.225630954467073597e+00	-1.632435321807861328e-01	nan
2.243704419642299275e+00	-1.612922251224517822e-01	nan
2.261777884817524509e+00	-1.592646986246109009e-01	nan
2.279851349992749743e+00	-1.572253555059432983e-01	nan
2.297924815167975421e+00	-1.554322540760040283e-01	nan
2.315998280343200655e+00	-1.533109396696090698e-01	nan
2.334071745518426333e+00	-1.514672040939331055e-01	nan
2.352145210693651567e+00	-1.493977308273315430e-01	nan
2.370218675868876801e+00	-1.475017815828323364e-01	nan
2.388292141044102479e+00	-1.455985158681869507e-01	nan
2.406365606219327713e+00	-1.438282132148742676e-01	nan
2.424439071394553391e+00	-1.419777721166610718e-01	nan
2.442512536569778625e+00	-1.399877965450286865e-01	nan
2.460586001745004303e+00	-1.381969898939132690e-01	nan
2.478659466920229537e+00	-1.364454030990600586e-01	nan
2.496732932095454771e+00	-1.345278322696685791e-01	nan
2.514806397270680449e+00	-1.328982710838317871e-01	nan
