# Normalized	8330.0 eV	187
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.534133333808537225e-01	1.576922988891601562e+01	1.014155873100900385e+00
1.701916152350436418e-01	1.460162830352783203e+01	5.472964914204498932e-01
1.869698970892335610e-01	1.335107517242431641e+01	4.097820319550539714e-01
2.037481789434235080e-01	1.205873489379882812e+01	3.328196355554880470e-01
2.205264607976133995e-01	1.059169769287109375e+01	2.717195832631667529e-01
2.373047426518033465e-01	9.324945449829101562e+00	2.255330961972286663e-01
2.540830245059932935e-01	8.169981956481933594e+00	1.900908794031588023e-01
2.708613063601831850e-01	6.990248203277587891e+00	1.740177812785208555e-01
2.876395882143730764e-01	5.932054996490478516e+00	1.570805985152866069e-01
3.044178700685630234e-01	4.978940963745117188e+00	1.409880338015405687e-01
3.211961519227529704e-01	4.137546539306640625e+00	1.265702211392898124e-01
3.379744337769428619e-01	3.413881540298461914e+00	1.107995701835396835e-01
3.547527156311328089e-01	2.785956859588623047e+00	9.388480054700772126e-02
3.715309974853227004e-01	2.258251905441284180e+00	8.082742283686983331e-02
3.883092793395126474e-01	1.802151918411254883e+00	6.945554112698662519e-02
4.050875611937025389e-01	1.429061889648437500e+00	5.951526840164907822e-02
4.218658430478924859e-01	1.124618530273437500e+00	5.100081779678718175e-02
4.386441249020824329e-01	8.749958276748657227e-01	4.368749566640260651e-02
4.554224067562723244e-01	6.771327257156372070e-01	3.737519526473644799e-02
4.722006886104622714e-01	5.255817770957946777e-01	3.209362978636839947e-02
4.889789704646521629e-01	4.082124531269073486e-01	2.761246589669580712e-02
5.057572523188420544e-01	3.209934830665588379e-01	2.386322783001245534e-02
5.225355341730320013e-01	2.564349174499511719e-01	2.081757896988111964e-02
5.393138160272219483e-01	2.096185088157653809e-01	1.844910068745603260e-02
5.560920978814118953e-01	1.755193024873733521e-01	1.656625439259325552e-02
5.728703797356018423e-01	1.523953527212142944e-01	1.555547438938520780e-02
5.896486615897917893e-01	1.361622661352157593e-01	1.481217760909129058e-02
6.064269434439816253e-01	1.224930286407470703e-01	1.403633510095303981e-02
6.232052252981715723e-01	1.129024326801300049e-01	1.342561608789063186e-02
6.399835071523614083e-01	1.047943532466888428e-01	1.282212665802554691e-02
6.567617890065513553e-01	9.764648973941802979e-02	1.224699245240364748e-02
6.735400708607413023e-01	9.035958349704742432e-02	1.170139363374847127e-02
6.903183527149312493e-01	8.414361625909805298e-02	1.122229743861158542e-02
7.070966345691211963e-01	7.678351551294326782e-02	1.065183276353842169e-02
