# Normalized	Empty Kapton	8324.0 eV
# q in nm-1	I in cm-1	poisson_error
1.863453832030938617e+00	8.480583131313323975e-02	6.420361763480095414e-03
1.880220019205274040e+00	8.457481116056442261e-02	6.377984491722194817e-03
1.896986206379609685e+00	8.416794240474700928e-02	6.330673341140910862e-03
1.913752393553945330e+00	8.381677418947219849e-02	6.286601163434940229e-03
1.930518580728280753e+00	8.372263610363006592e-02	6.254018989499370539e-03
1.947284767902616398e+00	8.359649777412414551e-02	6.219330766375099143e-03
1.964050955076952043e+00	8.323605358600616455e-02	6.175904226539599869e-03
1.980817142251287466e+00	8.289629220962524414e-02	6.134124273476117099e-03
1.997583329425623111e+00	8.241896331310272217e-02	6.088402907784309231e-03
2.014349516599958978e+00	8.231493085622787476e-02	6.056839333851242284e-03
2.031115703774294179e+00	8.211071044206619263e-02	6.022768287818875896e-03
2.047881890948629824e+00	8.204005658626556396e-02	5.993238007711960101e-03
2.064648078122965469e+00	8.175830543041229248e-02	5.957479127755863080e-03
2.081414265297301114e+00	8.151978999376296997e-02	5.921980309324720651e-03
2.098180452471636759e+00	8.129819482564926147e-02	5.889434763655663693e-03
2.114946639645972404e+00	8.139930665493011475e-02	5.867424360257464909e-03
2.131712826820307605e+00	8.101092278957366943e-02	5.828883897597210081e-03
2.148479013994643250e+00	8.077014237642288208e-02	5.795128633570538999e-03
2.165245201168978895e+00	8.065176010131835938e-02	5.767514111769358152e-03
2.182011388343314540e+00	8.078409731388092041e-02	5.749175996815080597e-03
2.198777575517650185e+00	8.037615567445755005e-02	5.711104912466358381e-03
2.215543762691985830e+00	8.038365095853805542e-02	5.688011823520509359e-03
2.232309949866321475e+00	8.035663515329360962e-02	5.663263483436239802e-03
2.249076137040656675e+00	8.024594187736511230e-02	5.637702686185406750e-03
2.265842324214992320e+00	8.018349856138229370e-02	5.612904056266974744e-03
2.282608511389327965e+00	8.013792335987091064e-02	5.589980538492462028e-03
2.299374698563663610e+00	7.999397814273834229e-02	5.562872931468170780e-03
2.316140885737999255e+00	8.004483580589294434e-02	5.543889139501910653e-03
2.332907072912334900e+00	7.996434718370437622e-02	5.520115805610525256e-03
2.349673260086670545e+00	8.001963794231414795e-02	5.500961738628695925e-03
2.366439447261005746e+00	7.993930578231811523e-02	5.477750735591893801e-03
2.383205634435341391e+00	7.977440953254699707e-02	5.451802065936334034e-03
2.399971821609677036e+00	8.009457588195800781e-02	5.436455010308844683e-03
2.416738008784012681e+00	7.994993776082992554e-02	5.407005317282514816e-03
2.433504195958348326e+00	7.970180362462997437e-02	5.378428471462612208e-03
2.450270383132683971e+00	7.983469218015670776e-02	5.363737530263230392e-03
2.467036570307019172e+00	7.980013638734817505e-02	5.343563261988139475e-03
2.483802757481354817e+00	7.989993691444396973e-02	5.367682877547027588e-03
2.500568944655690462e+00	7.993164658546447754e-02	5.415342365052764999e-03
2.517335131830026107e+00	8.004969358444213867e-02	5.437201727140229118e-03
2.534101319004361752e+00	8.026723563671112061e-02	5.457776272040101503e-03
2.550867506178697397e+00	8.019740134477615356e-02	5.464664492579013322e-03
2.567633693353032598e+00	8.009167015552520752e-02	5.467902987067397615e-03
2.584399880527368243e+00	8.034090697765350342e-02	5.479878381415466577e-03
2.601166067701703888e+00	8.033127337694168091e-02	5.482745351871726007e-03
2.617932254876039533e+00	8.041036128997802734e-02	5.486332666582299789e-03
2.634698442050375178e+00	8.042950928211212158e-02	5.454400128598852794e-03
2.651464629224710823e+00	8.061994612216949463e-02	5.385891828041855858e-03
2.668230816399046024e+00	8.073476701974868774e-02	5.349667790974099377e-03
2.684997003573381669e+00	8.081866055727005005e-02	5.316581232838231245e-03
2.701763190747717314e+00	8.090481907129287720e-02	5.289200730563325958e-03
2.718529377922052959e+00	8.102301508188247681e-02	5.265942773872609242e-03
2.735295565096388604e+00	8.130723237991333008e-02	5.249767831775556219e-03
2.752061752270724249e+00	8.125815540552139282e-02	5.223354847370102402e-03
2.768827939445059449e+00	8.157150447368621826e-02	5.211321666984950439e-03
2.785594126619395094e+00	8.172344416379928589e-02	5.193917213903601580e-03
2.802360313793730739e+00	8.183255791664123535e-02	5.176677992895147365e-03
2.819126500968066384e+00	8.204043656587600708e-02	5.163718324510825630e-03
2.835892688142402029e+00	8.227431029081344604e-02	5.151209765935003265e-03
2.852658875316737674e+00	8.222485333681106567e-02	5.130366418286014252e-03
2.869425062491072875e+00	8.250718563795089722e-02	5.119140466862070159e-03
2.886191249665408520e+00	8.283037692308425903e-02	5.111020399092158599e-03
2.902957436839744165e+00	8.280147612094879150e-02	5.092099374910090057e-03
2.919723624014079810e+00	8.315411955118179321e-02	5.085447684760998656e-03
2.936489811188415455e+00	8.363264054059982300e-02	5.082905108569193108e-03
2.953255998362751100e+00	8.374132215976715088e-02	5.069207466686338932e-03
2.970022185537086301e+00	8.388555794954299927e-02	5.056208883710900000e-03
2.986788372711421946e+00	8.420941978693008423e-02	5.049632328183020769e-03
3.003554559885757591e+00	8.439259976148605347e-02	5.038778047781440964e-03
3.020320747060093236e+00	8.460696786642074585e-02	5.029161685742565037e-03
3.037086934234428881e+00	8.494380861520767212e-02	5.022843724910405934e-03
3.053853121408764526e+00	8.521702140569686890e-02	5.016024965120617109e-03
3.070619308583099727e+00	8.563826233148574829e-02	5.012373944758364078e-03
3.087385495757435372e+00	8.584494888782501221e-02	5.003832195122798719e-03
3.104151682931771017e+00	8.597590774297714233e-02	4.992108028883230318e-03
3.120917870106106662e+00	8.632350713014602661e-02	5.046005899453990563e-03
3.137684057280442307e+00	8.656255155801773071e-02	5.077974026971896794e-03
3.154450244454777952e+00	8.676003664731979370e-02	5.100161583523390822e-03
3.171216431629113153e+00	8.687631785869598389e-02	5.114750393089363516e-03
3.187982618803448798e+00	8.723197132349014282e-02	5.133917271679326599e-03
3.204748805977784443e+00	8.742256462574005127e-02	5.145196275953026373e-03
3.221514993152120088e+00	8.794075995683670044e-02	5.164436355617792705e-03
3.238281180326455733e+00	8.814164996147155762e-02	5.172730846399735405e-03
3.255047367500791378e+00	8.838292956352233887e-02	5.181593434902854144e-03
3.271813554675126579e+00	8.875364810228347778e-02	5.140494494768369296e-03
3.288579741849462224e+00	8.908194303512573242e-02	5.102210777160382307e-03
3.305345929023797868e+00	8.953737467527389526e-02	5.081388838676649880e-03
3.322112116198133513e+00	8.996181935071945190e-02	5.066164402955037130e-03
3.338878303372469158e+00	9.054019302129745483e-02	5.058929451891358738e-03
3.355644490546804803e+00	9.095281362533569336e-02	5.048752618341317486e-03
3.372410677721140004e+00	9.152634441852569580e-02	5.044610517769825865e-03
3.389176864895475649e+00	9.204190969467163086e-02	5.039951727039375731e-03
3.405943052069811294e+00	9.250488132238388062e-02	5.034897671682443156e-03
3.422709239244146939e+00	9.305098652839660645e-02	5.032478529832608294e-03
3.439475426418482584e+00	9.396439790725708008e-02	5.040619203384868498e-03
3.456241613592818229e+00	9.480295330286026001e-02	5.047752562432196270e-03
3.473007800767153874e+00	9.591405838727951050e-02	5.062163972216856232e-03
3.489773987941489075e+00	9.676486998796463013e-02	5.069378362715495044e-03
3.506540175115824720e+00	9.773474186658859253e-02	5.080631479783205735e-03
3.523306362290160365e+00	9.897129982709884644e-02	5.097959758122885647e-03
3.540072549464496010e+00	1.001827418804168701e-01	5.115697302125242138e-03
3.556838736638831655e+00	1.015895083546638489e-01	5.138098744684436309e-03
3.573604923813167300e+00	1.029938384890556335e-01	5.159686020069897266e-03
3.590371110987502501e+00	1.047477498650550842e-01	5.191368708170456328e-03
3.607137298161838146e+00	1.067032888531684875e-01	5.227223756675016507e-03
3.623903485336173791e+00	1.086509302258491516e-01	5.261879991469846016e-03
3.640669672510509436e+00	1.105191409587860107e-01	5.295726548703021119e-03
3.657435859684845081e+00	1.129972785711288452e-01	5.342546894611244560e-03
3.674202046859180726e+00	1.155338212847709656e-01	5.390232315857296057e-03
3.690968234033515927e+00	1.181742474436759949e-01	5.440736601339020949e-03
3.707734421207851572e+00	1.212177798151969910e-01	5.499708816880576924e-03
3.724500608382187217e+00	1.242786496877670288e-01	5.558003455052204847e-03
3.741266795556522862e+00	1.275636702775955200e-01	5.620510762770719419e-03
3.758032982730858507e+00	1.314222663640975952e-01	5.695692798964794960e-03
3.774799169905194152e+00	1.349728554487228394e-01	5.762874040939671219e-03
3.791565357079529353e+00	1.389345675706863403e-01	5.838310223640163013e-03
3.808331544253864998e+00	1.589518040418624878e-01	6.254920679365433452e-03
3.825097731428200643e+00	1.522349268198013306e-01	6.098468113643190462e-03
3.841863918602536287e+00	1.520211696624755859e-01	6.079371353549704350e-03
3.858630105776871932e+00	1.565821617841720581e-01	6.161280289502357732e-03
3.875396292951207577e+00	1.611918359994888306e-01	6.241739090258745411e-03
3.892162480125542778e+00	1.658507436513900757e-01	6.322449754757014651e-03
3.908928667299878423e+00	1.699349135160446167e-01	6.390210611074801338e-03
3.925694854474214068e+00	1.742738634347915649e-01	6.461812407786312468e-03
3.942461041648549713e+00	1.782677769660949707e-01	6.525020233527792889e-03
3.959227228822885358e+00	1.821138858795166016e-01	6.585213103217484390e-03
3.975993415997221003e+00	1.847679018974304199e-01	6.622291060778994452e-03
3.992759603171556204e+00	1.869432181119918823e-01	6.647472235705488737e-03
4.009525790345891849e+00	1.885421574115753174e-01	6.662822385633609783e-03
4.026291977520227050e+00	1.889478415250778198e-01	6.655319665207189497e-03
4.043058164694563139e+00	1.888753920793533325e-01	6.639002590258708848e-03
4.059824351868898340e+00	1.879500001668930054e-01	6.606794794233331047e-03
4.076590539043234429e+00	1.855873912572860718e-01	6.547711703228082866e-03
4.093356726217569630e+00	1.828083097934722900e-01	6.480814124957248214e-03
4.110122913391904831e+00	1.791452914476394653e-01	6.396742957582583940e-03
4.126889100566240920e+00	1.748963892459869385e-01	6.360624980269731325e-03
4.143655287740576121e+00	1.701806336641311646e-01	6.306697544020455418e-03
4.160421474914912210e+00	1.657329946756362915e-01	6.234067262326338857e-03
4.177187662089247411e+00	1.602675318717956543e-01	6.124642816750599031e-03
4.193953849263583500e+00	1.547894775867462158e-01	6.018810310216997361e-03
4.210720036437918701e+00	1.495723426342010498e-01	5.917055376444955127e-03
4.227486223612254790e+00	1.444936245679855347e-01	5.814703946722616160e-03
4.244252410786589991e+00	1.397170126438140869e-01	5.715810818007541899e-03
4.261018597960925192e+00	1.350896507501602173e-01	5.617126602857610250e-03
4.277784785135261281e+00	1.307264268398284912e-01	5.522231910353415756e-03
4.294550972309596482e+00	1.270263642072677612e-01	5.437134715713206300e-03
4.311317159483932571e+00	1.230978295207023621e-01	5.341071028407423302e-03
4.328083346658267772e+00	1.198227927088737488e-01	5.259164086844578603e-03
4.344849533832602972e+00	1.168413236737251282e-01	5.187596986857178488e-03
4.361615721006939062e+00	1.141855195164680481e-01	5.123691007822157514e-03
4.378381908181274262e+00	1.117389500141143799e-01	5.067581688935950644e-03
4.395148095355610351e+00	1.096587032079696655e-01	5.072575379039395531e-03
4.411914282529945552e+00	1.080472469329833984e-01	5.069630648029622468e-03
4.428680469704281641e+00	1.064317151904106140e-01	5.057091282825960238e-03
4.445446656878616842e+00	1.045832708477973938e-01	5.032874819006421391e-03
4.462212844052952043e+00	1.031399071216583252e-01	5.015161807835660963e-03
4.478979031227288132e+00	1.020717099308967590e-01	5.004952362062164983e-03
4.495745218401623333e+00	1.009303554892539978e-01	4.990921318173793461e-03
4.512511405575959422e+00	9.991002082824707031e-02	4.979928805397783841e-03
4.529277592750294623e+00	9.895887225866317749e-02	5.003521803765452122e-03
4.546043779924630712e+00	9.800247102975845337e-02	5.023430857944146885e-03
4.562809967098965913e+00	9.701393544673919678e-02	5.035317602903801627e-03
4.579576154273301114e+00	9.622402489185333252e-02	5.065223375789781012e-03
4.596342341447637203e+00	9.549284726381301880e-02	5.107678084830439592e-03
4.613108528621972404e+00	9.448922425508499146e-02	5.128362957762905468e-03
4.629874715796308493e+00	9.385143965482711792e-02	5.143366250544720297e-03
4.646640902970643694e+00	9.297839552164077759e-02	5.144003595379626967e-03
4.663407090144978895e+00	9.227582812309265137e-02	5.148773138227992138e-03
4.680173277319314984e+00	9.138330072164535522e-02	5.144966019141945790e-03
4.696939464493650185e+00	9.065970033407211304e-02	5.143815391565578071e-03
4.713705651667986274e+00	8.994809538125991821e-02	5.141361913498582008e-03
4.730471838842321475e+00	8.936581015586853027e-02	5.219929375668483189e-03
4.747238026016657564e+00	8.897984772920608521e-02	5.298230040740386886e-03
4.764004213190992765e+00	8.831541985273361206e-02	5.327128131761111988e-03
4.780770400365327966e+00	8.747369050979614258e-02	5.335758110799288488e-03
4.797536587539664055e+00	8.696536719799041748e-02	5.355742209296218519e-03
4.814302774713999256e+00	8.630976825952529907e-02	5.365037954133841831e-03
4.831068961888335345e+00	8.550560474395751953e-02	5.366956060911362743e-03
4.847835149062670546e+00	8.479847759008407593e-02	5.370120113280759701e-03
4.864601336237005746e+00	8.437843620777130127e-02	5.380902111942155105e-03
4.881367523411341836e+00	8.347667753696441650e-02	5.366325952641445678e-03
4.898133710585677036e+00	8.299787342548370361e-02	5.360946806248326028e-03
4.914899897760013125e+00	8.231338858604431152e-02	5.351922210110250655e-03
4.931666084934348326e+00	8.154995739459991455e-02	5.346502904134829010e-03
4.948432272108684415e+00	8.110491186380386353e-02	5.351104161626370030e-03
4.965198459283019616e+00	8.043827861547470093e-02	5.347744369076565078e-03
4.981964646457354817e+00	7.968976348638534546e-02	5.340869704258523719e-03
4.998730833631690906e+00	7.913292199373245239e-02	5.339105112441677736e-03
5.015497020806026107e+00	7.829435169696807861e-02	5.397926413032693924e-03
5.032263207980362196e+00	7.761735469102859497e-02	5.490289494629269594e-03
5.049029395154697397e+00	7.707846909761428833e-02	5.555744795136528281e-03
5.065795582329032598e+00	7.640192657709121704e-02	5.604740305159138826e-03
5.082561769503368687e+00	7.583247125148773193e-02	5.651499507760407437e-03
5.099327956677703888e+00	7.520796358585357666e-02	5.692299991607821519e-03
5.116094143852039977e+00	7.471223920583724976e-02	5.735397730481691346e-03
5.132860331026375178e+00	7.404810935258865356e-02	5.769674838367354515e-03
5.149626518200711267e+00	7.337623834609985352e-02	5.800401010575405303e-03
5.166392705375046468e+00	7.295020669698715210e-02	5.833486576865263597e-03
5.183158892549381669e+00	7.261761277914047241e-02	5.868025258945443884e-03
5.199925079723717758e+00	7.199929654598236084e-02	5.889461816755277475e-03
5.216691266898052959e+00	7.152272760868072510e-02	5.915802753454832766e-03
5.233457454072389048e+00	7.056725025177001953e-02	5.920796945913802019e-03
5.250223641246724249e+00	6.996312737464904785e-02	5.944887650272693592e-03
5.266989828421059450e+00	6.941062957048416138e-02	5.975903441321922006e-03
5.283756015595395539e+00	6.903482228517532349e-02	6.015002557545073673e-03
5.300522202769730740e+00	6.847213208675384521e-02	6.046861005648810142e-03
5.317288389944066829e+00	6.799603253602981567e-02	6.079207462877248350e-03
5.334054577118402030e+00	6.756395101547241211e-02	6.107300554737311177e-03
5.350820764292738119e+00	6.694596260786056519e-02	6.120798261582568317e-03
5.367586951467073320e+00	6.641431152820587158e-02	6.138019565873082534e-03
5.384353138641408520e+00	6.587935984134674072e-02	6.155305103317226974e-03
5.401119325815744610e+00	6.542900949716567993e-02	6.180908951829976530e-03
5.417885512990079810e+00	6.495007872581481934e-02	6.214093231134270971e-03
5.434651700164415900e+00	6.446193903684616089e-02	6.247880675252253345e-03
5.451417887338751100e+00	6.402898579835891724e-02	6.284244981670539590e-03
5.468184074513086301e+00	6.349337100982666016e-02	6.316062418374428743e-03
5.484950261687422390e+00	6.303749978542327881e-02	6.352284767964358481e-03
5.501716448861757591e+00	6.247447431087493896e-02	6.383696516710936526e-03
5.518482636036093680e+00	6.213916093111038208e-02	6.427348945061373171e-03
5.535248823210428881e+00	6.183423846960067749e-02	6.473174450480955432e-03
5.552015010384764970e+00	6.118349358439445496e-02	6.501645735557389644e-03
5.568781197559100171e+00	6.084853410720825195e-02	6.547310098694378820e-03
5.585547384733435372e+00	6.033045798540115356e-02	6.584219902519210937e-03
5.602313571907771461e+00	5.987823382019996643e-02	6.624949771447363224e-03
5.619079759082106662e+00	5.946708470582962036e-02	6.671741645817299074e-03
5.635845946256442751e+00	5.928797647356987000e-02	6.727958342805199186e-03
5.652612133430777952e+00	5.856736749410629272e-02	6.741498234648806744e-03
5.669378320605114041e+00	5.830596759915351868e-02	6.777645686270625074e-03
5.686144507779449242e+00	5.796140804886817932e-02	6.809259052125258768e-03
5.702910694953784443e+00	5.762086436152458191e-02	6.840878667036966350e-03
5.719676882128120532e+00	5.705609545111656189e-02	6.862932421705325581e-03
5.736443069302455733e+00	5.660758912563323975e-02	6.901986170593362065e-03
5.753209256476791822e+00	5.640705302357673645e-02	6.965880927204183039e-03
5.769975443651127023e+00	5.595461279153823853e-02	7.015468649950080265e-03
5.786741630825462224e+00	5.563929304480552673e-02	7.075899256952450714e-03
5.803507817999798313e+00	5.555285513401031494e-02	7.153313463618857400e-03
5.820274005174133514e+00	5.498846992850303650e-02	7.200738529477269251e-03
5.837040192348469603e+00	5.461799725890159607e-02	7.266248007671774999e-03
5.853806379522804804e+00	5.431540682911872864e-02	7.332648473646454293e-03
5.870572566697140893e+00	5.394658073782920837e-02	7.398871656998520265e-03
5.887338753871476094e+00	5.357250198721885681e-02	7.468200255420312864e-03
5.904104941045811294e+00	5.336261540651321411e-02	7.551049930390437218e-03
5.920871128220147384e+00	5.296511575579643250e-02	7.623594795584211388e-03
5.937637315394482584e+00	5.265772342681884766e-02	7.705971234069131960e-03
5.954403502568818674e+00	5.226069688796997070e-02	7.784108758249103782e-03
5.971169689743153874e+00	5.196069553494453430e-02	7.873431914634016274e-03
5.987935876917489075e+00	5.184350535273551941e-02	7.980713250853008894e-03
6.004702064091825164e+00	5.135050043463706970e-02	8.062864187492902596e-03
6.021468251266160365e+00	5.103397369384765625e-02	8.170343192670639909e-03
6.038234438440496454e+00	5.075046792626380920e-02	8.274198653004709303e-03
6.055000625614831655e+00	5.043217167258262634e-02	8.380277335426643270e-03
6.071766812789167744e+00	5.016586184501647949e-02	8.501252973911752400e-03
6.088532999963502945e+00	5.008476227521896362e-02	8.653867596878184881e-03
6.105299187137838146e+00	4.968764632940292358e-02	8.764588242335606683e-03
6.122065374312174235e+00	4.923923686146736145e-02	8.886980097272583271e-03
6.138831561486509436e+00	4.898829013109207153e-02	9.037321438218079081e-03
6.155597748660845525e+00	4.880025982856750488e-02	9.200768132909960609e-03
6.172363935835180726e+00	4.881846532225608826e-02	9.395445193945424489e-03
6.189130123009515927e+00	4.843239486217498779e-02	9.562239955674194450e-03
6.205896310183852016e+00	4.818433523178100586e-02	9.754078395491572878e-03
6.222662497358187217e+00	4.770385101437568665e-02	9.934374913487760417e-03
6.239428684532523306e+00	4.756227880716323853e-02	1.016772458113071945e-02
6.256194871706858507e+00	4.751003533601760864e-02	1.042607473761388015e-02
6.272961058881194596e+00	4.689770564436912537e-02	1.064237983977237706e-02
6.289727246055529797e+00	4.670568555593490601e-02	1.093004847373240350e-02
6.306493433229864998e+00	4.602100700139999390e-02	1.118213040224923412e-02
6.323259620404201087e+00	4.565161466598510742e-02	1.156049212371844208e-02
6.340025807578536288e+00	4.523769393563270569e-02	1.205573046593618088e-02
6.356791994752872377e+00	4.502068832516670227e-02	1.264131648970939596e-02
6.373558181927207578e+00	4.583321139216423035e-02	1.364454870480946540e-02
6.390324369101542779e+00	4.592754319310188293e-02	1.434493843157016134e-02
6.407090556275878868e+00	4.586854949593544006e-02	1.485415780656656679e-02
6.423856743450214069e+00	4.602808505296707153e-02	1.532238092284052972e-02
6.440622930624550158e+00	4.564795643091201782e-02	1.557594012741858776e-02
6.457389117798885358e+00	4.538568481802940369e-02	1.586430006747967247e-02
6.474155304973221448e+00	4.572677239775657654e-02	1.628422291926031121e-02
6.490921492147556648e+00	4.524242505431175232e-02	1.657756866795941433e-02
6.507687679321891849e+00	4.526474699378013611e-02	1.698722173989006962e-02
6.524453866496227938e+00	4.503197595477104187e-02	1.737773812440165586e-02
6.541220053670563139e+00	4.508318752050399780e-02	1.788612291884596542e-02
6.557986240844899228e+00	4.490739479660987854e-02	1.838034704593660695e-02
6.574752428019234429e+00	4.480650648474693298e-02	1.886749162029509666e-02
6.591518615193569630e+00	4.492498934268951416e-02	1.949596777657234756e-02
6.608284802367905719e+00	4.418909549713134766e-02	2.000560119688433655e-02
