# Normalized	195	8239.0 eV
# q in nm-1	I in cm-1	poisson_error
1.517373003233184192e-01	3.363932037353515625e+01	1.494639157340356128e+00
1.683322808144483151e-01	3.957809448242187500e+01	9.255324837768783564e-01
1.849272613055782111e-01	4.895348739624023438e+01	8.268192680275614492e-01
2.015222417967081348e-01	5.610343933105468750e+01	7.755517613145419542e-01
2.181172222878380307e-01	5.095748901367187500e+01	6.494926841844973486e-01
2.347122027789679266e-01	3.453179550170898438e+01	4.639936087230289163e-01
2.513071832700978225e-01	1.899798774719238281e+01	2.990053709051766484e-01
2.679021637612277185e-01	9.937703132629394531e+00	2.070895670187256621e-01
2.844971442523576144e-01	5.566873550415039062e+00	1.488780892704086312e-01
3.010921247434875103e-01	3.719756126403808594e+00	1.183436543161515975e-01
3.176871052346174062e-01	3.006571054458618164e+00	1.049109052881051080e-01
3.342820857257473022e-01	2.782199859619140625e+00	9.778263269768386334e-02
3.508770662168771981e-01	2.717839002609252930e+00	9.127673182096614213e-02
3.674720467080071495e-01	2.646404981613159180e+00	8.675180739231740101e-02
3.840670271991369900e-01	2.435120820999145508e+00	8.048984802497508029e-02
4.006620076902669414e-01	2.128393650054931641e+00	7.266394034139594948e-02
4.172569881813967818e-01	1.808759927749633789e+00	6.486533897220929379e-02
4.338519686725267333e-01	1.516144633293151855e+00	5.778795196624528230e-02
4.504469491636565737e-01	1.249559164047241211e+00	5.108699636203576505e-02
4.670419296547865251e-01	1.026303172111511230e+00	4.516592116353005532e-02
4.836369101459163655e-01	8.404363393783569336e-01	3.992561590330845345e-02
5.002318906370463170e-01	6.964693665504455566e-01	3.543959505627903434e-02
5.168268711281761574e-01	5.867502689361572266e-01	3.176292113263795569e-02
5.334218516193061088e-01	5.021041035652160645e-01	2.880857511158720075e-02
5.500168321104360603e-01	4.293797016143798828e-01	2.613743723603845215e-02
5.666118126015659007e-01	3.711484372615814209e-01	2.446996583162321451e-02
5.832067930926958521e-01	3.242325186729431152e-01	2.302001889430045981e-02
5.998017735838256925e-01	2.805328667163848877e-01	2.137261296301982277e-02
6.163967540749556440e-01	2.461312264204025269e-01	1.992611853853686055e-02
6.329917345660854844e-01	2.167812585830688477e-01	1.852159729725308748e-02
6.495867150572154358e-01	1.938159614801406860e-01	1.731762398531491026e-02
6.661816955483452762e-01	1.749497205018997192e-01	1.633476709607852365e-02
6.827766760394752277e-01	1.588475257158279419e-01	1.546298138350792571e-02
6.993716565306051791e-01	1.449509412050247192e-01	1.467523739661967877e-02
7.159666370217350195e-01	1.309407651424407959e-01	1.358963399446992334e-02
7.325616175128649710e-01	1.176302358508110046e-01	1.244918301479070941e-02
7.491565980039948114e-01	1.040678620338439941e-01	1.145491020485000719e-02
7.657515784951247628e-01	9.131579846143722534e-02	1.054552485847004041e-02
7.823465589862546032e-01	7.897312939167022705e-02	9.684865208241875967e-03
7.989415394773845547e-01	6.904783844947814941e-02	8.926093393543884508e-03
8.155365199685143951e-01	5.990637466311454773e-02	8.191101624846826301e-03
8.321315004596443465e-01	5.317888408899307251e-02	7.609544610219683147e-03
8.487264809507741870e-01	4.783947020769119263e-02	7.122720749119659453e-03
8.653214614419041384e-01	4.362260177731513977e-02	6.715916943718091246e-03
8.819164419330339788e-01	4.064089059829711914e-02	6.403483464524846284e-03
8.985114224241639302e-01	3.727234154939651489e-02	6.060500393355544232e-03
9.151064029152937707e-01	3.547732159495353699e-02	5.845462313007283341e-03
9.317013834064237221e-01	3.328390046954154968e-02	5.600180475559926249e-03
9.482963638975536735e-01	3.077237121760845184e-02	5.327521887861759800e-03
9.648913443886835140e-01	2.783060818910598755e-02	5.012140463170818537e-03
9.814863248798134654e-01	2.446367405354976654e-02	4.649734633065844523e-03
9.980813053709433058e-01	2.140653692185878754e-02	4.304090207608516315e-03
1.014676285862073257e+00	1.894529536366462708e-02	4.006849417216713262e-03
1.031271266353203098e+00	1.664764620363712311e-02	3.720590845943948319e-03
1.047866246844332938e+00	1.494969893246889114e-02	3.492279717224376287e-03
1.064461227335462778e+00	1.322591584175825119e-02	3.253368286845547720e-03
1.081056207826592841e+00	1.211457047611474991e-02	3.086376536957300288e-03
1.097651188317722681e+00	1.096720714122056961e-02	2.910431123567521448e-03
1.114246168808852522e+00	1.029653660953044891e-02	2.795743079334331912e-03
1.130841149299982362e+00	9.705819189548492432e-03	2.691580173466778976e-03
1.147436129791112425e+00	9.168753400444984436e-03	2.594796175353118219e-03
1.164031110282242265e+00	8.595115505158901215e-03	2.493644119266029066e-03
1.180626090773372106e+00	8.082266896963119507e-03	2.401926113599814425e-03
1.197221071264502168e+00	8.096043020486831665e-03	2.434617061373606749e-03
1.213816051755632008e+00	8.055387996137142181e-03	2.444831531117648733e-03
1.230411032246761849e+00	9.059319272637367249e-03	2.591123930478775490e-03
1.247006012737891911e+00	1.030412036925554276e-02	2.763011599839990725e-03
1.263600993229021752e+00	1.041946746408939362e-02	2.777395423641019611e-03
1.280195973720151592e+00	8.364263921976089478e-03	2.483727428584939050e-03
1.296790954211281433e+00	6.151819135993719101e-03	2.124879122811871440e-03
1.313385934702411495e+00	5.191810429096221924e-03	1.948069772543713652e-03
1.329980915193541335e+00	4.670043941587209702e-03	1.843950164380550203e-03
1.346575895684671176e+00	3.718199906870722771e-03	1.610955800998627521e-03
1.363170876175801016e+00	3.457788378000259399e-03	1.523313264044772039e-03
1.379765856666931079e+00	2.814335748553276062e-03	1.361108517608640173e-03
1.396360837158060919e+00	2.697610296308994293e-03	1.323705654054554547e-03
1.412955817649190760e+00	2.440732903778553009e-03	1.251738524434652458e-03
1.429550798140320600e+00	2.255466533824801445e-03	1.196714272253026528e-03
1.446145778631450662e+00	2.190137980505824089e-03	1.173581381550264837e-03
1.462740759122580503e+00	2.482878975570201874e-03	1.243824283010677321e-03
1.479335739613710343e+00	2.539790002629160881e-03	1.252043578314093004e-03
1.495930720104840406e+00	2.395571675151586533e-03	1.210267179792592169e-03
1.512525700595970246e+00	2.307264367118477821e-03	1.182569386274916201e-03
1.529120681087100087e+00	2.623209729790687561e-03	1.255766467091211369e-03
1.545715661578229927e+00	2.235146239399909973e-03	1.153589133456205508e-03
1.562310642069359989e+00	2.576739760115742683e-03	1.233979253827640395e-03
1.578905622560489830e+00	2.534469356760382652e-03	1.218475512421981263e-03
1.595500603051619670e+00	2.443077042698860168e-03	1.189544313164980988e-03
1.612095583542749511e+00	2.750272862613201141e-03	1.253920862614636353e-03
1.628690564033879573e+00	2.957243472337722778e-03	1.288530995066513750e-03
1.645285544525009414e+00	2.866811119019985199e-03	1.255413042110512054e-03
1.661880525016139254e+00	3.056111512705683708e-03	1.283621171605834124e-03
1.678475505507269094e+00	3.260783851146697998e-03	1.314589382666963126e-03
1.695070485998399157e+00	3.405279247090220451e-03	1.332130362182600046e-03
1.711665466489528997e+00	3.727502422407269478e-03	1.382888486047260251e-03
1.728260446980658838e+00	3.870081156492233276e-03	1.396849510896852305e-03
1.744855427471788900e+00	4.234144929796457291e-03	1.449208537828157884e-03
1.761450407962918741e+00	4.159919451922178268e-03	1.424969704062205127e-03
1.778045388454048581e+00	4.560035187751054764e-03	1.481507736264479035e-03
1.794640368945178421e+00	4.800347611308097839e-03	1.511176384094465360e-03
1.811235349436308484e+00	5.027117673307657242e-03	1.538546554953934596e-03
1.827830329927438324e+00	5.401393398642539978e-03	1.587010624554786170e-03
1.844425310418568165e+00	5.622196011245250702e-03	1.611533708795641166e-03
1.861020290909698005e+00	5.810935515910387039e-03	1.629845032839302016e-03
1.877615271400828068e+00	6.113374140113592148e-03	1.663607468979515485e-03
1.894210251891957908e+00	6.234352942556142807e-03	1.671835513279322895e-03
1.910805232383087748e+00	6.801189389079809189e-03	1.738618590464837983e-03
1.927400212874217589e+00	6.838001310825347900e-03	1.734833496884584337e-03
1.943995193365347651e+00	7.172173354774713516e-03	1.768440059175286662e-03
1.960590173856477492e+00	7.476176135241985321e-03	1.797260788459974354e-03
1.977185154347607332e+00	7.625810801982879639e-03	1.806988146444889459e-03
1.993780134838737172e+00	8.204227313399314880e-03	1.866246684122260368e-03
2.010375115329867235e+00	8.366963826119899750e-03	1.876463365344477200e-03
2.026970095820996853e+00	8.477674797177314758e-03	1.880336165483046133e-03
2.043565076312126916e+00	8.580804802477359772e-03	1.883726252380026663e-03
2.060160056803256978e+00	9.005322121083736420e-03	1.921456620536404368e-03
2.076755037294386597e+00	9.221003390848636627e-03	1.936430014892219671e-03
2.093350017785516659e+00	9.491046890616416931e-03	1.956090140447393905e-03
2.109944998276646277e+00	9.883346036076545715e-03	1.988175324676323599e-03
2.126539978767776340e+00	9.987299330532550812e-03	1.990011406063444451e-03
2.143134959258906402e+00	1.033152360469102859e-02	2.016112565224869105e-03
2.159729939750036465e+00	1.054613385349512100e-02	2.028802667159404233e-03
2.176324920241166083e+00	1.105709187686443329e-02	2.069435666409673649e-03
2.192919900732296146e+00	1.097253989428281784e-02	2.052775786665997707e-03
2.209514881223425764e+00	1.133097801357507706e-02	2.077536907194512273e-03
2.226109861714555826e+00	1.141755934804677963e-02	2.077444435753938914e-03
2.242704842205685889e+00	1.187587995082139969e-02	2.110603677283568163e-03
2.259299822696815507e+00	1.198802329599857330e-02	2.112451015038527714e-03
2.275894803187945570e+00	1.222833152860403061e-02	2.125237342358534190e-03
2.292489783679075632e+00	1.244912669062614441e-02	2.136389719258793406e-03
2.309084764170205251e+00	1.264404691755771637e-02	2.144975271881267419e-03
