# q in nm-1	I	poisson_error
1.289189696504384197e-01	5.412212848663330078e+00	5.926029905258057839e-01
1.430183876667701914e-01	5.268257141113281250e+00	3.278805716689779937e-01
1.571178056831019632e-01	5.132818222045898438e+00	2.540020339871525978e-01
1.712172236994337071e-01	4.991527557373046875e+00	2.148829532182905400e-01
1.853166417157655066e-01	4.808995246887207031e+00	1.847784882583421440e-01
1.994160597320972506e-01	4.659945011138916016e+00	1.619903999477146084e-01
2.135154777484290223e-01	4.532456398010253906e+00	1.450019847015825980e-01
2.276148957647607940e-01	4.360460758209228516e+00	1.416765133593193560e-01
2.417143137810925657e-01	4.235152244567871094e+00	1.378366061090140482e-01
2.558137317974243374e-01	4.091535091400146484e+00	1.336816940891718819e-01
2.699131498137561369e-01	3.951075792312622070e+00	1.302552783841799122e-01
2.840125678300878809e-01	3.812162399291992188e+00	1.242593911292308173e-01
2.981119858464196248e-01	3.664936542510986328e+00	1.153561299655953692e-01
3.122114038627513688e-01	3.532277822494506836e+00	1.092119745770975398e-01
3.263108218790831683e-01	3.385012865066528320e+00	1.036490808879295261e-01
3.404102398954149677e-01	3.240445375442504883e+00	9.832278402727274991e-02
3.545096579117467117e-01	3.104335069656372070e+00	9.362107914478354220e-02
3.686090759280784557e-01	2.969034671783447266e+00	8.947360681300411955e-02
3.827084939444102551e-01	2.823979854583740234e+00	8.531339350296429647e-02
3.968079119607419991e-01	2.689287662506103516e+00	8.151909207880637942e-02
4.109073299770737986e-01	2.545534610748291016e+00	7.769981207972602444e-02
4.250067479934055426e-01	2.412614345550537109e+00	7.395771032643547183e-02
4.391061660097373420e-01	2.281599760055541992e+00	7.035937376661674514e-02
4.532055840260690860e-01	2.152282953262329102e+00	6.705399209302127794e-02
4.673050020424008300e-01	2.021337032318115234e+00	6.377332292349775777e-02
4.814044200587326294e-01	1.896577358245849609e+00	6.202484419536818949e-02
4.955038380750643734e-01	1.783023476600646973e+00	6.035747376789040580e-02
5.096032560913961174e-01	1.662558197975158691e+00	5.803508674420756325e-02
5.237026741077279723e-01	1.555078744888305664e+00	5.574997380760655930e-02
5.378020921240597163e-01	1.450579762458801270e+00	5.323314291494224415e-02
5.519015101403914603e-01	1.349075436592102051e+00	5.066231114629812793e-02
5.660009281567233153e-01	1.251514434814453125e+00	4.831799571242030578e-02
5.801003461730549482e-01	1.161903500556945801e+00	4.612902381108168609e-02
5.941997641893868032e-01	1.074057221412658691e+00	4.393627699382687823e-02
6.082991822057185471e-01	9.912996292114257812e-01	4.108216231033153670e-02
6.223986002220502911e-01	9.168999195098876953e-01	3.818201448807600346e-02
6.364980182383821461e-01	8.432334065437316895e-01	3.577017195600488281e-02
6.505974362547137790e-01	7.739151716232299805e-01	3.361782220115450831e-02
6.646968542710456340e-01	7.087844014167785645e-01	3.170240612007991371e-02
6.787962722873774890e-01	6.487526297569274902e-01	2.983263549068582848e-02
6.928956903037091219e-01	5.917594432830810547e-01	2.801019334567844687e-02
7.069951083200409769e-01	5.408526659011840820e-01	2.634466039447207891e-02
7.210945263363726099e-01	4.918192327022552490e-01	2.472847804940463134e-02
7.351939443527044649e-01	4.472115635871887207e-01	2.322202290281307965e-02
7.492933623690363198e-01	4.062318801879882812e-01	2.180257784575192342e-02
7.633927803853679528e-01	3.686262369155883789e-01	2.047112436075406577e-02
7.774921984016998078e-01	3.351481556892395020e-01	1.924418387272538306e-02
7.915916164180314407e-01	3.028752207756042480e-01	1.804372666854354643e-02
8.056910344343632957e-01	2.751817703247070312e-01	1.697470587303728101e-02
8.197904524506951507e-01	2.493282109498977661e-01	1.594738749623804061e-02
8.338898704670267836e-01	2.259663194417953491e-01	1.499107193590942452e-02
8.479892884833586386e-01	2.057077586650848389e-01	1.412797956324489228e-02
8.620887064996902716e-01	1.870983392000198364e-01	1.330823380774603416e-02
8.761881245160221265e-01	1.704715639352798462e-01	1.256094469225499909e-02
8.902875425323539815e-01	1.559892296791076660e-01	1.188129111522234944e-02
9.043869605486856145e-01	1.429954171180725098e-01	1.124977325887132826e-02
9.184863785650174695e-01	1.314115971326828003e-01	1.067281367159450718e-02
9.325857965813491024e-01	1.212666183710098267e-01	1.014721186081948140e-02
9.466852145976809574e-01	1.123981550335884094e-01	9.671511536742118456e-03
9.607846326140128124e-01	1.049409583210945129e-01	9.255735584754712711e-03
9.748840506303444453e-01	9.842110425233840942e-02	8.881317458505160606e-03
9.889834686466763003e-01	9.270725399255752563e-02	8.547640069720991579e-03
1.003082886663008155e+00	8.777531236410140991e-02	8.254674231410916510e-03
1.017182304679339788e+00	8.327052742242813110e-02	8.128118464089159612e-03
1.031281722695671643e+00	7.970819622278213501e-02	7.995830290899562029e-03
1.045381140712003276e+00	7.672326266765594482e-02	7.829784290527842458e-03
1.059480558728335131e+00	7.411859184503555298e-02	7.684698898339376201e-03
1.073579976744666986e+00	7.171834260225296021e-02	7.550713313307589637e-03
1.087679394760998619e+00	6.992037594318389893e-02	7.444315033949057067e-03
1.101778812777330474e+00	6.824786961078643799e-02	7.341669607613001899e-03
1.115878230793662107e+00	6.695140898227691650e-02	7.258218299893344841e-03
1.129977648809993962e+00	6.583350151777267456e-02	7.183395242724911756e-03
1.144077066826325817e+00	6.466035544872283936e-02	6.977444894638055659e-03
1.158176484842657450e+00	6.387065351009368896e-02	6.804378298023325451e-03
1.172275902858989305e+00	6.313129514455795288e-02	6.704160976551573788e-03
1.186375320875321160e+00	6.238936260342597961e-02	6.620920189229698508e-03
1.200474738891652793e+00	6.195408105850219727e-02	6.561150861360626023e-03
1.214574156907984648e+00	6.131689995527267456e-02	6.492680634562742435e-03
1.228673574924316503e+00	6.069418787956237793e-02	6.428735768573652296e-03
1.242772992940648136e+00	6.007500737905502319e-02	6.364511644991465399e-03
1.256872410956979991e+00	5.958831682801246643e-02	6.308403074695344281e-03
1.270971828973311624e+00	5.912706255912780762e-02	6.255348141136918109e-03
1.285071246989643479e+00	5.865837633609771729e-02	6.203832648113029660e-03
1.299170665005975334e+00	5.825304985046386719e-02	6.155244881999550471e-03
1.313270083022306967e+00	5.757161974906921387e-02	6.091504374762824262e-03
1.327369501038638822e+00	5.694333463907241821e-02	6.033040464281587065e-03
1.341468919054970454e+00	5.641869828104972839e-02	5.979013531673266213e-03
1.355568337071302309e+00	5.596106871962547302e-02	5.921831356994898717e-03
1.369667755087634164e+00	5.546874925494194031e-02	5.856120103866379288e-03
1.383767173103965797e+00	5.492210388183593750e-02	5.774385854565295198e-03
1.397866591120297652e+00	5.438233539462089539e-02	5.687403248806668574e-03
1.411966009136629285e+00	5.380978062748908997e-02	5.602351682917100680e-03
1.426065427152961140e+00	5.313610285520553589e-02	5.518958463410592909e-03
1.440164845169292995e+00	5.270465835928916931e-02	5.450510688712686264e-03
1.454264263185624628e+00	5.677388235926628113e-02	5.622666042152749295e-03
1.468363681201956483e+00	5.174484476447105408e-02	5.311253887027230468e-03
1.482463099218288116e+00	5.121553689241409302e-02	5.240020569436395353e-03
1.496562517234619971e+00	5.063052102923393250e-02	5.168926068063905109e-03
1.510661935250951826e+00	5.015470087528228760e-02	5.107345752440399164e-03
1.524761353267283459e+00	4.968386143445968628e-02	5.052796273905597879e-03
1.538860771283615314e+00	4.920266196131706238e-02	5.001571387375524681e-03
1.552960189299947169e+00	4.889738559722900391e-02	4.960578156318259761e-03
1.567059607316278802e+00	4.840781167149543762e-02	4.911525517156533661e-03
1.581159025332610657e+00	4.804118722677230835e-02	4.866928061708447779e-03
1.595258443348942290e+00	4.756206274032592773e-02	4.817869313839862749e-03
1.609357861365274145e+00	4.720547795295715332e-02	4.776137574265938365e-03
1.623457279381606000e+00	4.689745604991912842e-02	4.738170987739501183e-03
1.637556697397937633e+00	4.676356911659240723e-02	4.708796196236804919e-03
1.651656115414269488e+00	4.636397957801818848e-02	4.665665865997027824e-03
1.665755533430601121e+00	4.610511288046836853e-02	4.630600501797515339e-03
1.679854951446932976e+00	4.578662291169166565e-02	4.593400829220575105e-03
1.693954369463264831e+00	4.552837833762168884e-02	4.559319985264283399e-03
1.708053787479596464e+00	4.525568708777427673e-02	4.525500370324827236e-03
1.722153205495928319e+00	4.502120241522789001e-02	4.493334302960684187e-03
1.736252623512259952e+00	4.488532990217208862e-02	4.467636573074056615e-03
1.750352041528591807e+00	4.460930824279785156e-02	4.433641792534779441e-03
1.764451459544923662e+00	4.431862756609916687e-02	4.400631624822275850e-03
1.778550877561255295e+00	4.433826357126235962e-02	4.382610855327120220e-03
1.792650295577587150e+00	4.425551742315292358e-02	4.360562453653065752e-03
1.806749713593919004e+00	4.389748349785804749e-02	4.323798153534140487e-03
1.820849131610250637e+00	4.378283023834228516e-02	4.300779865865927802e-03
1.834948549626582492e+00	4.360946640372276306e-02	4.274789216105103623e-03
1.849047967642914125e+00	4.346044734120368958e-02	4.250206656298997215e-03
1.863147385659245980e+00	4.335363209247589111e-02	4.227575094650729004e-03
1.877246803675577835e+00	4.323326796293258667e-02	4.203999390060451750e-03
1.891346221691909468e+00	4.311183467507362366e-02	4.182040580225031799e-03
1.905445639708241323e+00	4.309922084212303162e-02	4.164884294842584149e-03
1.919545057724572956e+00	4.295149445533752441e-02	4.141830389036893836e-03
1.933644475740904811e+00	4.284404963254928589e-02	4.120370178495952329e-03
1.947743893757236666e+00	4.273084923624992371e-02	4.099455855880822924e-03
1.961843311773568299e+00	4.261898994445800781e-02	4.078584267840147312e-03
1.975942729789900154e+00	4.249140620231628418e-02	4.056784116791590199e-03
1.990042147806231787e+00	4.254079237580299377e-02	4.044410296213026348e-03
2.004141565822563642e+00	4.239229112863540649e-02	4.022360493012572605e-03
2.018240983838895275e+00	4.237511381506919861e-02	4.002101857313706233e-03
2.032340401855226908e+00	4.228735342621803284e-02	3.980040050420725548e-03
2.046439819871558985e+00	4.210442304611206055e-02	3.956562773538879925e-03
2.060539237887890618e+00	4.214225336909294128e-02	3.944375440421273200e-03
2.074638655904222251e+00	4.201568663120269775e-02	3.924393922559111549e-03
2.088738073920554328e+00	4.198973625898361206e-02	3.938095114463885382e-03
2.102837491936885961e+00	4.195907711982727051e-02	3.970316807738131365e-03
2.116936909953217594e+00	4.187900200486183167e-02	3.979156415223661196e-03
2.131036327969549227e+00	4.177699238061904907e-02	3.983393244343555809e-03
2.145135745985881304e+00	4.170850664377212524e-02	3.986713622818291100e-03
2.159235164002212937e+00	4.159694164991378784e-02	3.986149135769801247e-03
2.173334582018544570e+00	4.168982058763504028e-02	3.993087187427540700e-03
2.187434000034876203e+00	4.166765511035919189e-02	3.994284570796641579e-03
2.201533418051208280e+00	4.151442646980285645e-02	3.987150983022178484e-03
2.215632836067539913e+00	4.142922908067703247e-02	3.959458214794047901e-03
2.229732254083871545e+00	4.152200743556022644e-02	3.910133745339611742e-03
2.243831672100203622e+00	4.131150990724563599e-02	3.870971120972132012e-03
2.257931090116535255e+00	4.122291505336761475e-02	3.840925515582931191e-03
2.272030508132866888e+00	4.127183929085731506e-02	3.821659267793192389e-03
2.286129926149198965e+00	4.123045131564140320e-02	3.800195489389879885e-03
2.300229344165530598e+00	4.122154042124748230e-02	3.781423331470568343e-03
2.314328762181862231e+00	4.120326042175292969e-02	3.762906721985338591e-03
2.328428180198194308e+00	4.124690592288970947e-02	3.749007796431581656e-03
2.342527598214525941e+00	4.109167680144309998e-02	3.725675456551521755e-03
