# Normalized	8304.0 eV	211
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.529343905150668814e-01	3.258285903930664062e+01	1.467061127329711168e+00
1.696602923870779989e-01	2.921902656555175781e+01	7.815847447291909278e-01
1.863861942590890886e-01	2.570983123779296875e+01	5.741408478551996986e-01
2.031120961311002060e-01	2.219183921813964844e+01	4.551930371389078522e-01
2.198379980031113234e-01	1.850773239135742188e+01	3.612452332171565694e-01
2.365638998751224409e-01	1.530716896057128906e+01	2.896178283190851133e-01
2.532898017471335583e-01	1.257835578918457031e+01	2.354962215834550399e-01
2.700157036191446203e-01	1.001595783233642578e+01	2.071681450270058122e-01
2.867416054911557932e-01	7.774020671844482422e+00	1.780980870635788527e-01
3.034675073631668551e-01	5.898882389068603516e+00	1.513942187180099541e-01
3.201934092351780281e-01	4.368220806121826172e+00	1.278419426235104794e-01
3.369193111071890900e-01	3.169960975646972656e+00	1.045827991143199603e-01
3.536452129792002075e-01	2.261787414550781250e+00	8.256963745111556285e-02
3.703711148512113249e-01	1.569102764129638672e+00	6.556999982289236917e-02
3.870970167232223869e-01	1.050686359405517578e+00	5.149555853260005117e-02
4.038229185952335598e-01	6.899198889732360840e-01	4.008839440208413624e-02
4.205488204672446217e-01	4.526553153991699219e-01	3.135028402590334801e-02
4.372747223392557947e-01	3.083247542381286621e-01	2.515297377894187142e-02
4.540006242112668566e-01	2.304527610540390015e-01	2.120142140497522851e-02
4.707265260832780296e-01	1.979911327362060547e-01	1.922804621898933225e-02
4.874524279552890915e-01	1.925367712974548340e-01	1.860147945252523666e-02
5.041783298273001535e-01	2.018378078937530518e-01	1.865519202273339949e-02
5.209042316993113264e-01	2.151216417551040649e-01	1.888566341937028895e-02
5.376301335713223883e-01	2.261008173227310181e-01	1.905305772366693712e-02
5.543560354433335613e-01	2.304690629243850708e-01	1.893259473739860102e-02
5.710819373153446232e-01	2.272797077894210815e-01	1.898166274775215864e-02
5.878078391873557962e-01	2.183114439249038696e-01	1.875916983267702023e-02
6.045337410593668581e-01	2.029306739568710327e-01	1.807722541234176028e-02
6.212596429313779200e-01	1.829577535390853882e-01	1.709588491082034839e-02
6.379855448033890930e-01	1.615666747093200684e-01	1.591640912720300796e-02
6.547114466754001549e-01	1.387522518634796143e-01	1.458185056719694429e-02
6.714373485474113279e-01	1.163032576441764832e-01	1.324695742420740029e-02
6.881632504194223898e-01	9.617270529270172119e-02	1.195941800079093793e-02
7.048891522914334518e-01	7.853796333074569702e-02	1.072965768256353182e-02
7.216150541634446247e-01	6.386240571737289429e-02	9.420550877534700912e-03
7.383409560354556866e-01	5.262964591383934021e-02	8.261640443154961294e-03
7.550668579074668596e-01	4.427940025925636292e-02	7.412880635468540799e-03
7.717927597794779215e-01	3.864281997084617615e-02	6.808153508660843428e-03
7.885186616514890945e-01	3.455464914441108704e-02	6.361923779059828164e-03
8.052445635235001564e-01	3.203025832772254944e-02	6.041623477880966007e-03
8.219704653955113294e-01	3.061413951218128204e-02	5.824339608861583105e-03
