# Normalized	GC	8330.0 eV
# q in nm-1	I in cm-1	poisson_error
1.109775399069679480e+00	6.083170890808105469e+00	8.444551564523124221e-02
1.126553680923869205e+00	6.044780731201171875e+00	8.355677122973463600e-02
1.143331962778059152e+00	5.990186214447021484e+00	8.255568012043901227e-02
1.160110244632249099e+00	5.947093486785888672e+00	8.167432025685747443e-02
1.176888526486438824e+00	5.906380176544189453e+00	8.086707164103910939e-02
1.193666808340628993e+00	5.858129024505615234e+00	8.005112954219323340e-02
1.210445090194818718e+00	5.792734622955322266e+00	8.033387364449987023e-02
1.227223372049008887e+00	5.753552436828613281e+00	8.044649751130000803e-02
1.244001653903198612e+00	5.730372905731201172e+00	8.018253887826290449e-02
1.260779935757388781e+00	5.666731357574462891e+00	7.960514453127787160e-02
1.277558217611578506e+00	5.614349365234375000e+00	7.913817344655053876e-02
1.294336499465768675e+00	5.576467514038085938e+00	7.875635397136879212e-02
1.311114781319958400e+00	5.524860382080078125e+00	7.823784235692531064e-02
1.327893063174148125e+00	5.491439819335937500e+00	7.786109351057551864e-02
1.344671345028338294e+00	5.446206569671630859e+00	7.737459926135080435e-02
1.361449626882528019e+00	5.418577671051025391e+00	7.586832029171002023e-02
1.378227908736718188e+00	5.396395683288574219e+00	7.450142091066948302e-02
1.395006190590907913e+00	5.350569725036621094e+00	7.357891680392189548e-02
1.411784472445098082e+00	5.313146114349365234e+00	7.288252374678841350e-02
1.428562754299287807e+00	5.275428295135498047e+00	7.224342187219547073e-02
1.445341036153477976e+00	5.249800682067871094e+00	7.172591350785616215e-02
1.462119318007667701e+00	5.199464797973632812e+00	7.104032076340188739e-02
1.478897599861857426e+00	5.149695873260498047e+00	7.035498829525599351e-02
1.495675881716047595e+00	5.115321636199951172e+00	6.980301010105095794e-02
1.512454163570237320e+00	5.070234298706054688e+00	6.917865385914927223e-02
1.529232445424427489e+00	5.032733440399169922e+00	6.863440199292196453e-02
1.546010727278617214e+00	4.992019653320312500e+00	6.805863993586477867e-02
1.562789009132807383e+00	4.954675674438476562e+00	6.751109451178369247e-02
1.579567290986997108e+00	4.899383068084716797e+00	6.683869048240735633e-02
1.596345572841187277e+00	4.869196414947509766e+00	6.635956647807116082e-02
1.613123854695377002e+00	4.826029777526855469e+00	6.571066168737742241e-02
1.629902136549566727e+00	4.781836986541748047e+00	6.499199183326345719e-02
1.646680418403756896e+00	4.742450714111328125e+00	6.419134382781467585e-02
1.663458700257946621e+00	4.703405857086181641e+00	6.334075545252394746e-02
1.680236982112136790e+00	4.659223079681396484e+00	6.248281135423260774e-02
1.697015263966326515e+00	4.616809368133544922e+00	6.170525858845678224e-02
1.713793545820516684e+00	4.584409713745117188e+00	6.102469178098106350e-02
1.730571827674706409e+00	4.535423278808593750e+00	6.023975162140303430e-02
1.747350109528896578e+00	4.505974292755126953e+00	5.958059070486687592e-02
1.764128391383086303e+00	4.456012248992919922e+00	5.878262421727444703e-02
1.780906673237276028e+00	4.414402008056640625e+00	5.808006871290447015e-02
1.797684955091466197e+00	4.375216007232666016e+00	5.743104131355021569e-02
1.814463236945655922e+00	4.325586318969726562e+00	5.676249653604123480e-02
1.831241518799846091e+00	4.288798332214355469e+00	5.623180274360913694e-02
1.848019800654035816e+00	4.258436203002929688e+00	5.576025778634763341e-02
1.864798082508225985e+00	4.205440521240234375e+00	5.512578907791581412e-02
1.881576364362415710e+00	4.169821739196777344e+00	5.460953626996524479e-02
1.898354646216605879e+00	4.123458385467529297e+00	5.402229258842806969e-02
1.915132928070795604e+00	4.085957050323486328e+00	5.351297629776972931e-02
1.931911209924985329e+00	4.052165985107421875e+00	5.304419677754676488e-02
1.948689491779175498e+00	4.014079093933105469e+00	5.253615651571864192e-02
1.965467773633365223e+00	3.965124130249023438e+00	5.194462054491645608e-02
1.982246055487555392e+00	3.929250955581665039e+00	5.146270902211735193e-02
1.999024337341745117e+00	3.881052017211914062e+00	5.089261937775781119e-02
2.015802619195935286e+00	3.836506128311157227e+00	5.035108883813623620e-02
2.032580901050125011e+00	3.801156282424926758e+00	4.989181382619430755e-02
2.049359182904315180e+00	3.757793426513671875e+00	4.936603251882443200e-02
2.066137464758504905e+00	3.721679210662841797e+00	4.890997903445649247e-02
2.082915746612694630e+00	3.678838729858398438e+00	4.839165838016518117e-02
2.099694028466884799e+00	3.635849714279174805e+00	4.788800477906576120e-02
2.116472310321074524e+00	3.611487388610839844e+00	4.752245582990689138e-02
2.133250592175264693e+00	3.566249608993530273e+00	4.700320184072181995e-02
2.150028874029454418e+00	3.517024040222167969e+00	4.644756683007533055e-02
2.166807155883644143e+00	3.476576805114746094e+00	4.597256254435715117e-02
2.183585437737834312e+00	3.443593978881835938e+00	4.555762459044367801e-02
2.200363719592024037e+00	3.401401758193969727e+00	4.507081571777693529e-02
2.217142001446214206e+00	3.365764617919921875e+00	4.463464518144670545e-02
2.233920283300403931e+00	3.331840753555297852e+00	4.421023352269413259e-02
2.250698565154594100e+00	3.292448282241821289e+00	4.375698255962460342e-02
2.267476847008783825e+00	3.257681131362915039e+00	4.333470444265850180e-02
2.284255128862973994e+00	3.222974538803100586e+00	4.292138956014888290e-02
2.301033410717163719e+00	3.173699855804443359e+00	4.238745425472834755e-02
2.317811692571353444e+00	3.140296459197998047e+00	4.198821876093979111e-02
2.334589974425543613e+00	3.106001615524291992e+00	4.158175184634029659e-02
2.351368256279733338e+00	3.067699193954467773e+00	4.114192291445819410e-02
2.368146538133923507e+00	3.035157203674316406e+00	4.075370667333485381e-02
2.384924819988113232e+00	2.993320226669311523e+00	4.029222597101772552e-02
2.401703101842303401e+00	2.968811273574829102e+00	3.993132861364546288e-02
2.418481383696493126e+00	2.933427810668945312e+00	3.949725244539220581e-02
2.435259665550683295e+00	2.887782335281372070e+00	3.900746396174689656e-02
2.452037947404873020e+00	2.862104892730712891e+00	3.868309835558949444e-02
2.468816229259062744e+00	2.821558475494384766e+00	3.824049887348141691e-02
2.485594511113252914e+00	2.786559104919433594e+00	3.807722179351943209e-02
2.502372792967442638e+00	2.756864309310913086e+00	3.810702101526661223e-02
2.519151074821632807e+00	2.719249963760375977e+00	3.789854604145356104e-02
2.535929356675822532e+00	2.691831350326538086e+00	3.774469988331258935e-02
2.552707638530012701e+00	2.654604673385620117e+00	3.748625559595369222e-02
2.569485920384202426e+00	2.615319252014160156e+00	3.719459818810740698e-02
2.586264202238392595e+00	2.592720746994018555e+00	3.702091445017433730e-02
2.603042484092582320e+00	2.559021472930908203e+00	3.675206773890740686e-02
2.619820765946772045e+00	2.525944471359252930e+00	3.647346784249760887e-02
2.636599047800962214e+00	2.492560386657714844e+00	3.600495691578253776e-02
2.653377329655151939e+00	2.464784860610961914e+00	3.535040556155521346e-02
2.670155611509342108e+00	2.437959194183349609e+00	3.490029342499507969e-02
2.686933893363531833e+00	2.411456584930419922e+00	3.447772910987369904e-02
2.703712175217722002e+00	2.376165151596069336e+00	3.401248000567706070e-02
2.720490457071911727e+00	2.352718114852905273e+00	3.366557779282124130e-02
2.737268738926101896e+00	2.326063632965087891e+00	3.330049104987823499e-02
2.754047020780291621e+00	2.293511629104614258e+00	3.289106700337818268e-02
2.770825302634481346e+00	2.267379760742187500e+00	3.254923874621305779e-02
2.787603584488671515e+00	2.239708185195922852e+00	3.219507320938468781e-02
2.804381866342861240e+00	2.211538314819335938e+00	3.184551327636066936e-02
2.821160148197051409e+00	2.186768293380737305e+00	3.153098282031024935e-02
2.837938430051241134e+00	2.161987304687500000e+00	3.121495840230233826e-02
2.854716711905431303e+00	2.133486509323120117e+00	3.087201728844859647e-02
2.871494993759621028e+00	2.107335805892944336e+00	3.054385661648797989e-02
2.888273275613811197e+00	2.082282066345214844e+00	3.023488743948456181e-02
2.905051557468000922e+00	2.055754661560058594e+00	2.991615270741311908e-02
2.921829839322190647e+00	2.036514997482299805e+00	2.966107234144205879e-02
2.938608121176380816e+00	2.012818336486816406e+00	2.936884026164248915e-02
2.955386403030570541e+00	1.988247990608215332e+00	2.907231087100644457e-02
2.972164684884760710e+00	1.962246179580688477e+00	2.876157155103963373e-02
2.988942966738950435e+00	1.939119219779968262e+00	2.847999220019039809e-02
3.005721248593140604e+00	1.917026996612548828e+00	2.820841253536246832e-02
3.022499530447330329e+00	1.895027875900268555e+00	2.793927593404280790e-02
3.039277812301520498e+00	1.875037431716918945e+00	2.768581290406636058e-02
3.056056094155710223e+00	1.849167585372924805e+00	2.738822205501990556e-02
3.072834376009899948e+00	1.827745199203491211e+00	2.712361875474297163e-02
3.089612657864090117e+00	1.808149933815002441e+00	2.688318143010279618e-02
3.106390939718279842e+00	1.783326625823974609e+00	2.659292472626105172e-02
3.123169221572470011e+00	1.763623476028442383e+00	2.661503125149216470e-02
3.139947503426659736e+00	1.740759372711181641e+00	2.652172928305896599e-02
3.156725785280849905e+00	1.717917919158935547e+00	2.638812795446062592e-02
3.173504067135039630e+00	1.694972157478332520e+00	2.622898404750768214e-02
3.190282348989229799e+00	1.673266649246215820e+00	2.606732762897361402e-02
3.207060630843419524e+00	1.649851202964782715e+00	2.587624277581737284e-02
3.223838912697609249e+00	1.633922934532165527e+00	2.574396879397724755e-02
3.240617194551799418e+00	1.609314918518066406e+00	2.552528490357143173e-02
3.257395476405989143e+00	1.590541124343872070e+00	2.535686441531935162e-02
3.274173758260179312e+00	1.571617960929870605e+00	2.495938960910602800e-02
3.290952040114369037e+00	1.554888486862182617e+00	2.460220333803917261e-02
