# Normalized	8330.0 eV	207
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.534133333808537225e-01	4.015081882476806641e+00	4.988435402545976505e-01
1.701916152350436418e-01	3.888303041458129883e+00	2.704245784241562922e-01
1.869698970892335610e-01	3.781302452087402344e+00	2.070434070272483829e-01
2.037481789434235080e-01	3.660164833068847656e+00	1.733451163193683031e-01
2.205264607976133995e-01	3.481024503707885742e+00	1.469479503630349848e-01
2.373047426518033465e-01	3.350317478179931641e+00	1.274170185059176064e-01
2.540830245059932935e-01	3.222947597503662109e+00	1.126184145451939317e-01
2.708613063601831850e-01	3.055685997009277344e+00	1.093244325822191609e-01
2.876395882143730764e-01	2.919395208358764648e+00	1.054454690522534377e-01
3.044178700685630234e-01	2.777625322341918945e+00	1.014703803496930373e-01
3.211961519227529704e-01	2.637809991836547852e+00	9.806772491075903264e-02
3.379744337769428619e-01	2.501988410949707031e+00	9.261603341676846735e-02
3.547527156311328089e-01	2.354723930358886719e+00	8.474586257165389602e-02
3.715309974853227004e-01	2.226682662963867188e+00	7.928953037090595568e-02
3.883092793395126474e-01	2.091285943984985352e+00	7.437709561031029259e-02
4.050875611937025389e-01	1.965788722038269043e+00	6.980974879283298462e-02
4.218658430478924859e-01	1.847531199455261230e+00	6.575649882709411198e-02
4.386441249020824329e-01	1.725720286369323730e+00	6.205044322440992494e-02
4.554224067562723244e-01	1.602528452873229980e+00	5.842777537113101605e-02
4.722006886104622714e-01	1.491445064544677734e+00	5.516849244850211692e-02
4.889789704646521629e-01	1.375609755516052246e+00	5.189936565379742184e-02
5.057572523188420544e-01	1.270769834518432617e+00	4.875149628430891502e-02
5.225355341730320013e-01	1.171943783760070801e+00	4.579199588897785861e-02
5.393138160272219483e-01	1.075309753417968750e+00	4.304820393273649931e-02
5.560920978814118953e-01	9.799619317054748535e-01	4.034579152999147322e-02
5.728703797356018423e-01	8.916491866111755371e-01	3.874479855642255777e-02
5.896486615897917893e-01	8.158962130546569824e-01	3.729297125090966225e-02
6.064269434439816253e-01	7.360308170318603516e-01	3.534147768896778868e-02
6.232052252981715723e-01	6.673119664192199707e-01	3.348063822587560995e-02
6.399835071523614083e-01	6.029656529426574707e-01	3.150677451294261328e-02
6.567617890065513553e-01	5.434828996658325195e-01	2.955852103068921932e-02
6.735400708607413023e-01	4.888712763786315918e-01	2.780760853965825313e-02
6.903183527149312493e-01	4.398664832115173340e-01	2.618017549421580714e-02
7.070966345691211963e-01	3.943150937557220459e-01	2.460184583651451110e-02
7.238749164233111433e-01	3.512061536312103271e-01	2.260656992115143288e-02
7.406531982775009793e-01	3.151999413967132568e-01	2.069281690730790518e-02
7.574314801316909262e-01	2.817607223987579346e-01	1.913132728570835633e-02
7.742097619858808732e-01	2.515482902526855469e-01	1.775844932265386450e-02
7.909880438400708202e-01	2.247696667909622192e-01	1.657253891437139234e-02
8.077663256942606562e-01	2.010746747255325317e-01	1.544448389521741773e-02
8.245446075484506032e-01	1.801041811704635620e-01	1.439658103237883950e-02
8.413228894026405502e-01	1.621344387531280518e-01	1.346315648367136381e-02
8.581011712568304972e-01	1.458296775817871094e-01	1.259428868406478608e-02
8.748794531110204442e-01	1.318647563457489014e-01	1.181904756299316343e-02
8.916577349652102802e-01	1.202871128916740417e-01	1.114479560403528260e-02
9.084360168194002272e-01	1.096568480134010315e-01	1.051169749299103381e-02
9.252142986735901742e-01	1.015321388840675354e-01	9.994766478110189006e-03
9.419925805277801212e-01	9.386777877807617188e-02	9.501635524708090808e-03
9.587708623819700682e-01	8.790420740842819214e-02	9.095890615730118506e-03
9.755491442361599042e-01	8.244222402572631836e-02	8.714508983651942167e-03
9.923274260903498512e-01	7.824136316776275635e-02	8.402943422629477813e-03
1.009105707944539798e+00	7.482687383890151978e-02	8.135003450276333606e-03
