# Normalized	8239.0 eV	211
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.517373003233184192e-01	3.444916152954101562e+01	1.689268122977084730e+00
1.683322808144483151e-01	3.095831680297851562e+01	9.670412460520284581e-01
1.849272613055782111e-01	2.725833129882812500e+01	7.343038152973009325e-01
2.015222417967081348e-01	2.350897026062011719e+01	5.919239823968440728e-01
2.181172222878380307e-01	1.964786720275878906e+01	4.753990746578736215e-01
2.347122027789679266e-01	1.632046890258789062e+01	3.848448946975125406e-01
2.513071832700978225e-01	1.340940284729003906e+01	3.136411497427518125e-01
2.679021637612277185e-01	1.071569252014160156e+01	2.706539186326754609e-01
2.844971442523576144e-01	8.330801963806152344e+00	2.282058606934926348e-01
3.010921247434875103e-01	6.334919929504394531e+00	1.902418327897767159e-01
3.176871052346174062e-01	4.720088481903076172e+00	1.577730942472807818e-01
3.342820857257473022e-01	3.440953731536865234e+00	1.271174433081738164e-01
3.508770662168771981e-01	2.459359407424926758e+00	9.908174580996943759e-02
3.674720467080071495e-01	1.708979845046997070e+00	7.745382203757242290e-02
3.840670271991369900e-01	1.147783994674682617e+00	5.988658527345192689e-02
4.006620076902669414e-01	7.533356547355651855e-01	4.587008222921604844e-02
4.172569881813967818e-01	4.953959584236145020e-01	3.541532119700894349e-02
4.338519686725267333e-01	3.369100093841552734e-01	2.807323307395028292e-02
4.504469491636565737e-01	2.505900859832763672e-01	2.343103260142499061e-02
4.670419296547865251e-01	2.155139148235321045e-01	2.119867623105494911e-02
4.836369101459163655e-01	2.088219821453094482e-01	2.047384187743616496e-02
5.002318906370463170e-01	2.197774499654769897e-01	2.062698685319390088e-02
5.168268711281761574e-01	2.358522266149520874e-01	2.102172531852285198e-02
5.334218516193061088e-01	2.493381947278976440e-01	2.132808715320001769e-02
5.500168321104360603e-01	2.550367116928100586e-01	2.126714513469962764e-02
5.666118126015659007e-01	2.533500194549560547e-01	2.138482745509504360e-02
5.832067930926958521e-01	2.452413439750671387e-01	2.118562402264615244e-02
5.998017735838256925e-01	2.280670255422592163e-01	2.037605876302221730e-02
6.163967540749556440e-01	2.080893665552139282e-01	1.934069735915506724e-02
6.329917345660854844e-01	1.839699596166610718e-01	1.796426540957253917e-02
6.495867150572154358e-01	1.585882157087326050e-01	1.643491621827458324e-02
6.661816955483452762e-01	1.333422660827636719e-01	1.489557119060254918e-02
6.827766760394752277e-01	1.106657832860946655e-01	1.341978125595317227e-02
6.993716565306051791e-01	9.055381268262863159e-02	1.200489824407027263e-02
7.159666370217350195e-01	7.305649667978286743e-02	1.046547386969367069e-02
7.325616175128649710e-01	6.023750826716423035e-02	9.159886823125504285e-03
7.491565980039948114e-01	5.049700662493705750e-02	8.185361650535223285e-03
7.657515784951247628e-01	4.359630495309829712e-02	7.463201906081743525e-03
7.823465589862546032e-01	3.864095360040664673e-02	6.932711424198738023e-03
7.989415394773845547e-01	3.573315590620040894e-02	6.570900007521843569e-03
8.155365199685143951e-01	3.436122834682464600e-02	6.353038733797999014e-03
8.321315004596443465e-01	3.315100446343421936e-02	6.156520112456416102e-03
8.487264809507741870e-01	3.253711014986038208e-02	6.023904769202888948e-03
8.653214614419041384e-01	3.205233439803123474e-02	5.907795543522574577e-03
8.819164419330339788e-01	3.109870478510856628e-02	5.749756984778106247e-03
8.985114224241639302e-01	2.988461777567863464e-02	5.571041478933495827e-03
