# Normalized	8324 eV	232
# q	I	Poisson error
# nm-1	cm-1	cm-1
1.533027377231604982e-01	2.992527246475219727e+00	4.302151889972658516e-01
1.700689249038178363e-01	2.801554918289184570e+00	2.289909963529594694e-01
1.868351120844752022e-01	2.631592512130737305e+00	1.720717721504264053e-01
2.036012992651325404e-01	2.488517284393310547e+00	1.422317929120834601e-01
2.203674864457899063e-01	2.331239700317382812e+00	1.195463650850582260e-01
2.371336736264472445e-01	2.236855268478393555e+00	1.034224280239531280e-01
2.538998608071045826e-01	2.167755126953125000e+00	9.171572013009292312e-02
2.706660479877619485e-01	2.090862274169921875e+00	8.986347621036386291e-02
2.874322351684193144e-01	2.049624443054199219e+00	8.787137662805463711e-02
3.041984223490766248e-01	2.021786689758300781e+00	8.620094313294515698e-02
3.209646095297339907e-01	2.006060600280761719e+00	8.527892837818784599e-02
3.377307967103913011e-01	2.003963232040405273e+00	8.278773704953683310e-02
3.544969838910486670e-01	2.004263877868652344e+00	7.824886078570064685e-02
3.712631710717060329e-01	2.031216859817504883e+00	7.597592117081554408e-02
3.880293582523633988e-01	2.057949781417846680e+00	7.422646257493618893e-02
4.047955454330207092e-01	2.103676795959472656e+00	7.288276868974752354e-02
4.215617326136780751e-01	2.160570144653320312e+00	7.201389910779858183e-02
4.383279197943354411e-01	2.227535724639892578e+00	7.167097433413867347e-02
4.550941069749927514e-01	2.294832468032836914e+00	7.137611070871024976e-02
4.718602941556501174e-01	2.382492065429687500e+00	7.149815733659654893e-02
4.886264813363074833e-01	2.462433338165283203e+00	7.153023016024628866e-02
5.053926685169647381e-01	2.566045761108398438e+00	7.172959780195078960e-02
5.221588556976222151e-01	2.678288221359252930e+00	7.206054728518444807e-02
5.389250428782794700e-01	2.794224262237548828e+00	7.263098416739487140e-02
5.556912300589368359e-01	2.900300741195678711e+00	7.304478082471316247e-02
5.724574172395942018e-01	3.002401113510131836e+00	7.512589765404506514e-02
5.892236044202515677e-01	3.116283893585205078e+00	7.731722269222264521e-02
6.059897916009089336e-01	3.177620410919189453e+00	7.818845664744671076e-02
6.227559787815661885e-01	3.240312814712524414e+00	7.884360695897207894e-02
6.395221659622236654e-01	3.266615867614746094e+00	7.863364367089421825e-02
6.562883531428809203e-01	3.244806766510009766e+00	7.764920000631565788e-02
6.730545403235382862e-01	3.178785562515258789e+00	7.635479915324602795e-02
6.898207275041956521e-01	3.085400342941284180e+00	7.473337443037610106e-02
7.065869146848530180e-01	2.940618753433227539e+00	7.240806874952580852e-02
7.233531018655103839e-01	2.750385284423828125e+00	6.820841788904564995e-02
7.401192890461677498e-01	2.559088706970214844e+00	6.360271066280141772e-02
7.568854762268250047e-01	2.342091083526611328e+00	5.942873298445253138e-02
7.736516634074823706e-01	2.118955135345458984e+00	5.541718515021822750e-02
7.904178505881397365e-01	1.899007916450500488e+00	5.164671258690581995e-02
8.071840377687971024e-01	1.691936135292053223e+00	4.789493811422469022e-02
8.239502249494544683e-01	1.494897842407226562e+00	4.420173184259076210e-02
8.407164121301118342e-01	1.323083043098449707e+00	4.086182009244271329e-02
8.574825993107690891e-01	1.162307381629943848e+00	3.765459595545257721e-02
8.742487864914264550e-01	1.020427942276000977e+00	3.470777793197444422e-02
8.910149736720838209e-01	8.964875340461730957e-01	3.201769386532020423e-02
9.077811608527411869e-01	7.871258258819580078e-01	2.954773856985944830e-02
9.245473480333985528e-01	6.948125958442687988e-01	2.735317413078018969e-02
9.413135352140559187e-01	6.082997918128967285e-01	2.522922382956297241e-02
9.580797223947131735e-01	5.395894646644592285e-01	2.344525692207832454e-02
9.748459095753705395e-01	4.776067435741424561e-01	2.176633283225481996e-02
9.916120967560279054e-01	4.222323894500732422e-01	2.020454375351833295e-02
1.008378283936685271e+00	3.757763803005218506e-01	1.882475117604478360e-02
1.025144471117342526e+00	3.345662355422973633e-01	1.754341238909387299e-02
1.041910658298000003e+00	2.985679507255554199e-01	1.638709941214153490e-02
1.058676845478657480e+00	2.682249844074249268e-01	1.535915882828835927e-02
1.075443032659314735e+00	2.409463673830032349e-01	1.439612657349484230e-02
1.092209219839971990e+00	2.177696675062179565e-01	1.354575667316959726e-02
1.108975407020629245e+00	1.971162408590316772e-01	1.275523808574081930e-02
1.125741594201286722e+00	1.796626150608062744e-01	1.205646897958625487e-02
1.142507781381944199e+00	1.646284610033035278e-01	1.143038551129550370e-02
1.159273968562601453e+00	1.514806598424911499e-01	1.086341647029277595e-02
1.176040155743258708e+00	1.406303495168685913e-01	1.038008421651757072e-02
1.192806342923915963e+00	1.315434426069259644e-01	9.964333584622876716e-03
1.209572530104573662e+00	1.234049126505851746e-01	9.760069111548098572e-03
1.226338717285230917e+00	1.172985509037971497e-01	9.570008404959395518e-03
1.243104904465888172e+00	1.118945628404617310e-01	9.330014104613607029e-03
1.259871091646545427e+00	1.071860119700431824e-01	9.119228197475450978e-03
1.276637278827202682e+00	1.039722338318824768e-01	8.973509996218606913e-03
1.293403466007860381e+00	1.010138839483261108e-01	8.832520704445472395e-03
1.310169653188517636e+00	9.892326593399047852e-02	8.726711885775367827e-03
1.326935840369174890e+00	9.734253585338592529e-02	8.642029323437449423e-03
1.343702027549832145e+00	9.580095857381820679e-02	8.557496712296235389e-03
1.360468214730489400e+00	9.400297701358795166e-02	8.306845673719719103e-03
1.377234401911147099e+00	9.303247928619384766e-02	8.107446977291659848e-03
1.394000589091804354e+00	9.129472821950912476e-02	7.958075718794081765e-03
1.410766776272461609e+00	8.926893770694732666e-02	7.816317612167474407e-03
1.427532963453118864e+00	8.773494511842727661e-02	7.704422006538872575e-03
1.444299150633776119e+00	8.554141968488693237e-02	7.565394349536022113e-03
1.461065337814433818e+00	8.318278193473815918e-02	7.422740069579710637e-03
1.477831524995091073e+00	8.089959621429443359e-02	7.282400872761296898e-03
1.494597712175748327e+00	7.847536355257034302e-02	7.135783448750145259e-03
1.511363899356405582e+00	7.605215162038803101e-02	6.990309114089246836e-03
1.528130086537063281e+00	7.378694415092468262e-02	6.853705861105511415e-03
1.544896273717720536e+00	7.149463891983032227e-02	6.714358091421917911e-03
1.561662460898377791e+00	6.931482255458831787e-02	6.579708580610397518e-03
1.578428648079035046e+00	6.689955294132232666e-02	6.435177163170098351e-03
1.595194835259692301e+00	6.496938318014144897e-02	6.312310466311926369e-03
1.611961022440350000e+00	6.288412958383560181e-02	6.173676592705448427e-03
1.628727209621007255e+00	6.112500652670860291e-02	6.043987911621913171e-03
