# Normalized	203	8239.0 eV
# q in nm-1	I in cm-1	poisson_error
1.517373003233184192e-01	6.845346832275390625e+01	2.343684018323232809e+00
1.683322808144483151e-01	6.290155410766601562e+01	1.347587881140990929e+00
1.849272613055782111e-01	5.945019531250000000e+01	1.066092082772828187e+00
2.015222417967081348e-01	5.785765457153320312e+01	9.278641774116849206e-01
2.181172222878380307e-01	5.711103439331054688e+01	8.314430976144263630e-01
2.347122027789679266e-01	5.874648284912109375e+01	7.777017930207144047e-01
2.513071832700978225e-01	6.191951370239257812e+01	7.525682538078325434e-01
2.679021637612277185e-01	6.658027648925781250e+01	7.909992825414230433e-01
2.844971442523576144e-01	7.485108947753906250e+01	8.525268821815473741e-01
3.010921247434875103e-01	8.474046325683593750e+01	9.245473191211232011e-01
3.176871052346174062e-01	9.414524841308593750e+01	9.934899449801450899e-01
3.342820857257473022e-01	1.005247650146484375e+02	1.024646753313256609e+00
3.508770662168771981e-01	1.019253997802734375e+02	1.002674117158954159e+00
3.674720467080071495e-01	9.985354614257812500e+01	9.676835751315825407e-01
3.840670271991369900e-01	9.240110778808593750e+01	8.982637148752694589e-01
4.006620076902669414e-01	8.053025817871093750e+01	7.976657904054007542e-01
4.172569881813967818e-01	6.635531616210937500e+01	6.814572966651216701e-01
4.338519686725267333e-01	5.217993927001953125e+01	5.652875556887211328e-01
4.504469491636565737e-01	3.981080245971679688e+01	4.603666507194915103e-01
4.670419296547865251e-01	3.014614105224609375e+01	3.745181672101795534e-01
4.836369101459163655e-01	2.271785545349121094e+01	3.049251498919851033e-01
5.002318906370463170e-01	1.730215263366699219e+01	2.504426399314575447e-01
5.168268711281761574e-01	1.340363693237304688e+01	2.087150618719675610e-01
5.334218516193061088e-01	1.058080101013183594e+01	1.769519173616717622e-01
5.500168321104360603e-01	8.530353546142578125e+00	1.524114429594500275e-01
5.666118126015659007e-01	7.066334724426269531e+00	1.364399716794043871e-01
5.832067930926958521e-01	6.042620658874511719e+00	1.247131011782538906e-01
5.998017735838256925e-01	5.253011226654052734e+00	1.145159747169005454e-01
6.163967540749556440e-01	4.678690910339355469e+00	1.065179198092946478e-01
6.329917345660854844e-01	4.216517925262451172e+00	9.941268064002325988e-02
6.495867150572154358e-01	3.801030874252319336e+00	9.267974330060096966e-02
6.661816955483452762e-01	3.428117513656616211e+00	8.672700376004001399e-02
6.827766760394752277e-01	3.108566045761108398e+00	8.147844522921633692e-02
6.993716565306051791e-01	2.802084684371948242e+00	7.629914873666553132e-02
