# q in nm-1	I	poisson_error
1.289189696504384197e-01	4.296663761138916016e+00	5.312467182022764245e-01
1.430183876667701914e-01	4.209447383880615234e+00	2.963264841732433097e-01
1.571178056831019632e-01	4.119787216186523438e+00	2.307796098506505467e-01
1.712172236994337071e-01	4.007539272308349609e+00	1.956758759351405752e-01
1.853166417157655066e-01	3.859515190124511719e+00	1.685502354464325780e-01
1.994160597320972506e-01	3.730927705764770508e+00	1.478379569932664617e-01
2.135154777484290223e-01	3.614485740661621094e+00	1.322529016818659031e-01
2.276148957647607940e-01	3.463627576828002930e+00	1.288833447339806926e-01
2.417143137810925657e-01	3.348133802413940430e+00	1.250412197959810956e-01
2.558137317974243374e-01	3.214124679565429688e+00	1.208181177409064222e-01
2.699131498137561369e-01	3.085565090179443359e+00	1.173015338906896743e-01
2.840125678300878809e-01	2.961647987365722656e+00	1.115898968249297019e-01
2.981119858464196248e-01	2.830152988433837891e+00	1.033002679237443600e-01
3.122114038627513688e-01	2.708277225494384766e+00	9.742492310187374216e-02
3.263108218790831683e-01	2.578767061233520508e+00	9.213402545945750810e-02
3.404102398954149677e-01	2.453030824661254883e+00	8.709138607773189711e-02
3.545096579117467117e-01	2.334387540817260742e+00	8.261399136048928893e-02
3.686090759280784557e-01	2.216978311538696289e+00	7.863161058726002295e-02
3.827084939444102551e-01	2.095839977264404297e+00	7.470633866477122131e-02
3.968079119607419991e-01	1.981795310974121094e+00	7.108624197163891656e-02
4.109073299770737986e-01	1.865914583206176758e+00	6.753935540400277104e-02
4.250067479934055426e-01	1.757388830184936523e+00	6.404792490693139717e-02
4.391061660097373420e-01	1.653372526168823242e+00	6.074372824019708128e-02
4.532055840260690860e-01	1.552999615669250488e+00	5.773847277776601727e-02
4.673050020424008300e-01	1.452656149864196777e+00	5.477667351642131338e-02
4.814044200587326294e-01	1.358845591545104980e+00	5.315702412633540458e-02
4.955038380750643734e-01	1.273548960685729980e+00	5.161503612055867024e-02
5.096032560913961174e-01	1.185918927192687988e+00	4.957364253500889245e-02
5.237026741077279723e-01	1.106482028961181641e+00	4.753993057666826977e-02
5.378020921240597163e-01	1.032439231872558594e+00	4.539016947278020492e-02
5.519015101403914603e-01	9.598162174224853516e-01	4.317807811836247428e-02
5.660009281567233153e-01	8.926118612289428711e-01	4.122596942642256512e-02
5.801003461730549482e-01	8.301159739494323730e-01	3.938503985461964951e-02
5.941997641893868032e-01	7.707786560058593750e-01	3.759546182726828528e-02
6.082991822057185471e-01	7.139732241630554199e-01	3.522010464265450114e-02
6.223986002220502911e-01	6.648594737052917480e-01	3.285602748540827206e-02
6.364980182383821461e-01	6.165985465049743652e-01	3.091942114675930511e-02
6.505974362547137790e-01	5.704739093780517578e-01	2.918199417327707601e-02
6.646968542710456340e-01	5.274362564086914062e-01	2.765591170042053931e-02
6.787962722873774890e-01	4.875274598598480225e-01	2.615896966451357677e-02
6.928956903037091219e-01	4.509832561016082764e-01	2.474446144290939550e-02
7.069951083200409769e-01	4.174726605415344238e-01	2.342967277670877230e-02
7.210945263363726099e-01	3.856134712696075439e-01	2.217441671325311170e-02
7.351939443527044649e-01	3.561054170131683350e-01	2.099307129979638767e-02
7.492933623690363198e-01	3.286947011947631836e-01	1.987538405000776470e-02
7.633927803853679528e-01	3.031171262264251709e-01	1.881871287975886084e-02
7.774921984016998078e-01	2.802552580833435059e-01	1.784581185360445063e-02
7.915916164180314407e-01	2.584322988986968994e-01	1.690909889181345382e-02
8.056910344343632957e-01	2.390928268432617188e-01	1.605681282963853512e-02
8.197904524506951507e-01	2.211444675922393799e-01	1.524687225791935066e-02
8.338898704670267836e-01	2.044327557086944580e-01	1.447931602529598828e-02
8.479892884833586386e-01	1.893379390239715576e-01	1.376614037062332159e-02
8.620887064996902716e-01	1.757576614618301392e-01	1.310385480351611114e-02
8.761881245160221265e-01	1.628394722938537598e-01	1.247311659780724058e-02
8.902875425323539815e-01	1.513717025518417358e-01	1.189240738134679162e-02
9.043869605486856145e-01	1.406540423631668091e-01	1.133665888734154865e-02
9.184863785650174695e-01	1.312003731727600098e-01	1.083603726507813281e-02
9.325857965813491024e-01	1.223393157124519348e-01	1.035510442120115941e-02
9.466852145976809574e-01	1.147583201527595520e-01	9.928651445796059932e-03
9.607846326140128124e-01	1.072541773319244385e-01	9.503356590327071210e-03
9.748840506303444453e-01	1.009877622127532959e-01	9.134901502951575311e-03
9.889834686466763003e-01	9.530343115329742432e-02	8.797628567466912047e-03
1.003082886663008155e+00	9.008166193962097168e-02	8.486023174167557637e-03
1.017182304679339788e+00	8.546755462884902954e-02	8.351940381225586227e-03
1.031281722695671643e+00	8.149397373199462891e-02	8.196027359390553602e-03
1.045381140712003276e+00	7.780096679925918579e-02	7.989223794425456132e-03
1.059480558728335131e+00	7.446700334548950195e-02	7.801325497791216680e-03
1.073579976744666986e+00	7.151912152767181396e-02	7.633680003273893636e-03
1.087679394760998619e+00	6.894470006227493286e-02	7.480504699272125246e-03
1.101778812777330474e+00	6.695952266454696655e-02	7.357038709644968429e-03
1.115878230793662107e+00	6.484866887331008911e-02	7.223713781915580556e-03
1.129977648809993962e+00	6.320456415414810181e-02	7.115550502011683091e-03
1.144077066826325817e+00	6.180282309651374817e-02	6.896218568306262259e-03
1.158176484842657450e+00	6.055550277233123779e-02	6.697472729539548884e-03
1.172275902858989305e+00	5.941721424460411072e-02	6.573620486303456342e-03
1.186375320875321160e+00	5.846057459712028503e-02	6.476988977815494736e-03
1.200474738891652793e+00	5.757384374737739563e-02	6.390723397835341123e-03
1.214574156907984648e+00	5.698513239622116089e-02	6.324241670570040011e-03
1.228673574924316503e+00	5.631454288959503174e-02	6.256563432852152266e-03
1.242772992940648136e+00	5.586461350321769714e-02	6.201330531315632673e-03
1.256872410956979991e+00	5.538931116461753845e-02	6.145379024256709781e-03
1.270971828973311624e+00	5.506495386362075806e-02	6.099829683270242657e-03
1.285071246989643479e+00	5.460815504193305969e-02	6.048429765009757930e-03
1.299170665005975334e+00	5.426175147294998169e-02	6.002919312303678367e-03
1.313270083022306967e+00	5.420729517936706543e-02	5.974440831190440393e-03
1.327369501038638822e+00	5.377941578626632690e-02	5.926524808238744016e-03
1.341468919054970454e+00	5.354208871722221375e-02	5.888407393587050988e-03
1.355568337071302309e+00	5.331894382834434509e-02	5.844389728848146080e-03
1.369667755087634164e+00	5.300302803516387939e-02	5.788504880860600478e-03
1.383767173103965797e+00	5.286838486790657043e-02	5.730165749130002560e-03
1.397866591120297652e+00	5.268206074833869934e-02	5.663108980170988675e-03
1.411966009136629285e+00	5.253825709223747253e-02	5.601863447314072396e-03
1.426065427152961140e+00	5.234035104513168335e-02	5.544394884543792611e-03
1.440164845169292995e+00	5.210204795002937317e-02	5.486304861115030851e-03
1.454264263185624628e+00	5.187209323048591614e-02	5.431614151976887211e-03
1.468363681201956483e+00	5.162044614553451538e-02	5.372367429546618181e-03
1.482463099218288116e+00	5.134611576795578003e-02	5.314421242047481612e-03
1.496562517234619971e+00	5.110639706254005432e-02	5.261363165823810216e-03
1.510661935250951826e+00	5.082671716809272766e-02	5.209735058244964467e-03
