q	I	I err	
nm\+(-1)	cm\+(-1)	cm\+(-1)	
	GC-K 90mu-b		
0.035514728	1255.35652062819	228.1420973778
0.039460808	1038.43016930532	33.6621635279953
0.043406888	776.598770711574	8.98249133587507
0.047352968	598.337554791818	4.48382685144863
0.051299048	454.68501518093	3.02679302204636
0.055245128	347.844695272932	2.2285635844498
0.059191212	271.739681420763	1.70086833964328
0.063137292	214.564586006692	1.34279724872896
0.067083372	171.805316596098	1.05872011913196
0.071029456	139.407959277773	0.854327994406318
0.074975536	114.458360574527	0.698456951611016
0.078921616	95.0061220153443	0.575045133112281
0.082867696	80.0708688698632	0.48130861164834
0.086813776	68.1001861631218	0.407601728666665
0.090759856	58.1878427592982	0.346558354113215
0.094705936	50.0512645358257	0.297050755393158
0.098652016	43.417863299137	0.256960788005753
0.102598096	37.9133136408991	0.223689995468784
0.106544176	33.3447111572428	0.19597982870154
0.110490256	29.5321685555117	0.172794627458787
0.114436344	26.2706825713071	0.15351698476126
0.118382424	23.5220256230668	0.137491931153007
0.122328504	21.1866145244951	0.123552734799442
0.126274584	19.1571435781673	0.111407395460461
0.130220664	17.3768423529945	0.100946686186559
0.134166744	15.8597884963271	0.0920349602302577
0.138112832	14.5552937576538	0.0844298159035623
0.142058912	13.4093514510418	0.0777609151740656
0.146004992	12.4025110059569	0.0719810392867064
0.149951072	11.5108589606306	0.0667744807417872
0.153897152	10.714509982252	0.0620501180181065
0.157843232	10.0250433123472	0.0581488408314781
0.161789312	9.41295563164275	0.0545647473936894
0.165735392	8.8761133041927	0.0514586702261915
0.169681472	8.3980637881524	0.0487503820509237
0.173627552	7.9650931349555	0.0462651486296788
0.177573632	7.56208149424255	0.0438796077235907
0.181519712	7.21519463094837	0.0418384365527139
0.185465792	6.91064151753417	0.0400703025314097
0.189411872	6.62338897403912	0.0384604818561939
0.193357952	6.35742234077544	0.0369248413672213
0.197304032	6.11733543398594	0.0355048162874434
0.201250112	5.88116426650917	0.0341219897469189
0.205196192	5.67477795020609	0.0329024276655367
0.209142272	5.48885322458557	0.0318470370850591
0.213088352	5.3256516822066	0.0308938344793171
0.217034432	5.17047174351796	0.0299645100285312
0.220980512	5.03694030251466	0.0291991876962126
0.224926592	4.91129822435034	0.0284857563213115
0.228872688	4.794440179303	0.0278168816706096
0.232818768	4.68688145980979	0.027195596190922
0.236764848	4.58566743885436	0.0266155136421367
0.240710928	4.48981533701573	0.0260548907637149
0.244657008	4.40169143253586	0.0255664255199414
0.248603088	4.32299664963203	0.0250859549587447
0.252549168	4.24062090989685	0.0246041837754846
0.256495248	4.15976384321522	0.0241241742912424
0.260441328	4.08575544302121	0.0237044530355401
0.264387408	4.02018728039439	0.0232992506019154
0.268333488	3.96482503010656	0.0229667392511502
0.272279584	3.90768678154663	0.0226229588431637
0.276225664	3.8509135691286	0.022282334469579
0.280171744	3.79875275460107	0.0219786591538967
0.284117824	3.75430669207929	0.0217090917946169
0.288063904	3.70923304214295	0.0214539303928152
0.292009984	3.66857062938338	0.0212039050431964
0.295956064	3.62835192425152	0.0209570139695609
0.299902144	3.59336103669285	0.0207398961939127
0.303848224	3.55462513054737	0.0205149035900538
0.307794304	3.51744485392161	0.0202974298019429
0.311740384	3.48326397445735	0.0200892782448926
0.315686464	3.45364461448569	0.0199022496854524
0.319632544	3.42388767064014	0.0197245284845457
0.323578624	3.39585981232685	0.0195707051171209
0.327524704	3.36784833023315	0.0194060534332423
0.331470784	3.34366930857057	0.0192552246422475
0.335416864	3.31527744845011	0.0190911813843844
0.339362944	3.29074010072063	0.0189420151381503
0.343309024	3.26808130493111	0.0188152214925462
0.347255104	3.24453030699106	0.0186743256068294
0.351201184	3.22180954070687	0.0185379525510803
0.355147264	3.19923750081229	0.0184070440841099
0.359093344	3.18055536009386	0.0183004063147073
0.363039424	3.15964803804322	0.0181683301027313
0.366985504	3.13985067732115	0.0180522316268645
0.370931584	3.12237119101433	0.017949244647324
0.374877664	3.10632832550445	0.0178594392513184
0.378823744	3.08802117292703	0.0177430481465926
0.382769824	3.07065546832592	0.0176404104464066
0.386715904	3.05404733827512	0.0175459229209885
0.390661984	3.03653619959909	0.0174400723710663
0.394608064	3.02081453003705	0.017345635126306
0.398554144	3.00802929789585	0.0172758233657236
0.402500224	2.99207507690512	0.0171766198856724
0.406446304	2.97555058743704	0.0170807404402301
0.410392384	2.9619553523863	0.017002741251014
0.414338464	2.94664292028236	0.0169150978927807
0.418284544	2.93135238613761	0.0168222914116349
0.422230624	2.91782808962249	0.0167384867067112
0.426176704	2.90349138712256	0.016657585909709
0.430122784	2.88865217621111	0.0165675707223798
0.434068864	2.87607550423355	0.0164900845402371
0.438014944	2.8634296679894	0.0164202837671132
0.441961024	2.84938154808347	0.0163430116029846
0.445907104	2.83549963690314	0.0162570773258195
0.449853184	2.82309035582326	0.0161822747337575
0.453799296	2.81179767270202	0.0161256728077867
0.457745376	2.80027227463933	0.0160565513540659
0.461691456	2.78687409287984	0.0159741777100355
0.465637536	2.77738184213825	0.0159225579475969
0.469583616	2.76463061173238	0.0158432606446513
0.473529696	2.75060135022052	0.0157601677192021
0.477475776	2.73919609436098	0.015694831049484
0.481421856	2.72905894870872	0.0156381891877267
0.485367936	2.71839418331726	0.0155771484394155
0.489314016	2.70844264395497	0.0155182574231578
0.493260096	2.69681560593304	0.015445089891416
0.497206176	2.68666086277661	0.0153936204236334
0.501152256	2.67488598664346	0.015326751038444
0.505098336	2.66396631375812	0.0152599121985016
0.509044416	2.65297768897739	0.0151935166122018
