q	I	I err	
nm\+(-1)	cm\+(-1)	cm\+(-1)	
	Water		
0.035514728	0.274885821144789	0.119045623380373
0.039460808	0.21918468857866	0.0279982332241673
0.043406888	0.206553088988861	0.0156386864510551
0.047352968	0.148873999268693	0.00829837874730623
0.051299048	0.107764816912742	0.00543344266926868
0.055245128	0.0849217342870114	0.00399351506409883
0.059191212	0.0707169643568702	0.00308644072998834
0.063137292	0.0616330712183436	0.00251227777127946
0.067083372	0.0540411704109928	0.00218217996616847
0.071029456	0.047714706265701	0.00188909780954433
0.074975536	0.0434879480156635	0.00164524428735943
0.078921616	0.0394135111102683	0.00142995978748585
0.082867696	0.0364673098993063	0.00123953482500425
0.086813776	0.0334414186112494	0.00111400754237062
0.090759856	0.0314577320474348	0.00101406044930879
0.094705936	0.0296535857589815	9.29230800097606E-4
0.098652016	0.0279043576582138	8.5466283426408E-4
0.102598096	0.0267780386382574	7.98933205142222E-4
0.106544176	0.0256133750183863	7.51578253960067E-4
0.110490256	0.0244952987819914	7.10543922124006E-4
0.114436344	0.0236668343654021	6.67142451754861E-4
0.118382424	0.0230857595085666	6.33423575949698E-4
0.122328504	0.0223475277265001	6.0298386299268E-4
0.126274584	0.0218233728842311	5.82185825719941E-4
0.130220664	0.0211380193120554	5.58553798082835E-4
0.134166744	0.0205714753257599	5.35893172896354E-4
0.138112832	0.0202235881385916	5.17010089839831E-4
0.142058912	0.0199229619379431	5.00765220215284E-4
0.146004992	0.0195838555617915	4.85879029252338E-4
0.149951072	0.0193038917858258	4.7560730309683E-4
0.153897152	0.0191536366564822	4.61128684139541E-4
0.157843232	0.0187384422691651	4.51618268545881E-4
0.161789312	0.0187166612882345	4.38694766021591E-4
0.165735392	0.0186134799820155	4.35068568102445E-4
0.169681472	0.0183424732744679	4.36645077016413E-4
0.173627552	0.0182491836205303	4.388473912507E-4
0.177573632	0.01802994620112	4.29501891528516E-4
0.181519712	0.0179924646326029	4.20918563979715E-4
0.185465792	0.0178465733410852	4.19149391760265E-4
0.189411872	0.0176710387704115	4.15171799573891E-4
0.193357952	0.0176010459816168	4.08109140937695E-4
0.197304032	0.0174701746058167	4.01890959936715E-4
0.201250112	0.0174795464580067	3.92337841152465E-4
0.205196192	0.0174453310342483	3.84429970748525E-4
0.209142272	0.0174104062991549	3.78352019080218E-4
0.213088352	0.0173704688170048	3.74175456496236E-4
0.217034432	0.0173852779538575	3.67170409731529E-4
0.220980512	0.0172118834333163	3.656294263848E-4
0.224926592	0.0171678712240641	3.68282521226285E-4
0.228872688	0.0171878508624953	3.70113750433962E-4
0.232818768	0.0172222533355418	3.66781364528891E-4
0.236764848	0.0170600473288256	3.65250001650503E-4
0.240710928	0.0170379060526976	3.65178903461775E-4
0.244657008	0.0170254128621385	3.64643843347343E-4
0.248603088	0.0169978548808339	3.6154056817458E-4
0.252549168	0.0170290052401464	3.57559842620069E-4
0.256495248	0.0170429490270749	3.4913347127323E-4
0.260441328	0.0168648226457171	3.43153042721974E-4
0.264387408	0.0167082942686548	3.36751267708418E-4
0.268333488	0.01680613509532	3.3439086141908E-4
0.272279584	0.0168589967241819	3.29760496995433E-4
0.276225664	0.0169721107718337	3.26132440877023E-4
0.280171744	0.0169411719958866	3.22874268742223E-4
0.284117824	0.0169327671373996	3.17547344282838E-4
0.288063904	0.0168256173500484	3.15948547310479E-4
0.292009984	0.0166991453802837	3.10761264385555E-4
0.295956064	0.0168173965837428	3.07709284428677E-4
0.299902144	0.0168207113559794	3.0457961290916E-4
0.303848224	0.0168434726045974	3.01292005167889E-4
0.307794304	0.0167704953585439	2.98973250024995E-4
0.311740384	0.0167649610255171	2.96491899341612E-4
0.315686464	0.0167021843298501	2.91676984680589E-4
0.319632544	0.0167508275277107	2.90199577955139E-4
0.323578624	0.0167081676530035	2.8933630426709E-4
0.327524704	0.0167386761508231	2.89113090379004E-4
0.331470784	0.0168381328379183	2.86456270334204E-4
0.335416864	0.0168893953768832	2.84959483083696E-4
0.339362944	0.0168995823539721	2.8248291974381E-4
0.343309024	0.0168947616933687	2.79064091342055E-4
0.347255104	0.0169512784637551	2.76965427531465E-4
0.351201184	0.017002665003662	2.75969965725466E-4
0.355147264	0.0168387746283589	2.74382692856101E-4
0.359093344	0.0167627188443497	2.70935008374526E-4
0.363039424	0.0168546033965941	2.69972624447095E-4
0.366985504	0.0168708986237864	2.69389082776249E-4
0.370931584	0.0168437075124754	2.66741500703846E-4
0.374877664	0.0168004624957924	2.65844885960985E-4
0.378823744	0.0167870455265347	2.6292575300042E-4
0.382769824	0.0168217052304152	2.62117464213231E-4
0.386715904	0.0167506026749945	2.60637010558583E-4
0.390661984	0.0168216448155911	2.5887642103954E-4
0.394608064	0.0168672777967596	2.57230339178703E-4
0.398554144	0.0168060358704233	2.55317099159301E-4
0.402500224	0.0168528101822958	2.54430797287179E-4
0.406446304	0.016824333611668	2.53707065767429E-4
0.410392384	0.0168924380281361	2.53012294970026E-4
0.414338464	0.016764903410567	2.51078113231833E-4
0.418284544	0.0167914182739583	2.49097453449832E-4
0.422230624	0.0166502363597551	2.46571128446607E-4
0.426176704	0.0167165327467061	2.44784684674405E-4
0.430122784	0.0167755386986071	2.44841327685057E-4
0.434068864	0.0168129976244602	2.43421225934331E-4
0.438014944	0.0167475102490221	2.39699991602097E-4
0.441961024	0.0166693334821186	2.38837983534963E-4
0.445907104	0.016753675716826	2.37983751162811E-4
0.449853184	0.0168696281256983	2.37967153521864E-4
0.453799296	0.016853026694027	2.37876080615888E-4
