	FileName	Energy	dEnergy	f0	f-Real	f-Imagin	q_Invariant
0	214neu_10000_eV_Tif_510_Norm_c0_Sub.dat	10000	1667	28	0.0	0.0	0.0
1	214neu_7000_eV_Tif_384_Norm_c0_Sub.dat	7000	-1333	28	0.0	0.0	0.0
2	214neu_8004_eV_Tif_402_Norm_c0_Sub.dat	8004	-329	28	-2.86	0.514	0.0
3	214neu_8239_eV_Tif_420_Norm_c0_Sub.dat	8239	-94	28	-4.11	0.489	0.0
4	214neu_8304_eV_Tif_438_Norm_c0_Sub.dat	8304	-29	28	-5.35	0.492	0.0
5	214neu_8324_eV_Tif_456_Norm_c0_Sub.dat	8324	-9	28	-6.63	0.541	0.0
6	214neu_8330_eV_Tif_474_Norm_c0_Sub.dat	8330	-3	28	-7.87	0.741	0.0
7	214neu_8973_eV_Tif_492_Norm_c0_Sub.dat	8973	640	28	0.0	0.0	0.0
