# Example_ASAXS	Resonant
# q	I-Resonant
# nm-1	cm-1
1.534133308534822715e-01	1.931534130669271265e-01
1.700041095732476026e-01	1.728881892161274192e-01
1.865948882930129338e-01	1.366153674139028995e-01
2.031856670127782927e-01	9.747634427427868953e-02
2.197764457325436238e-01	9.262607913720759256e-02
2.363672244523089550e-01	1.034167414334638685e-01
2.529580031720742861e-01	7.608349596048730179e-02
2.695487818918396172e-01	6.215931048788295860e-02
2.861395606116049484e-01	5.015508934843000699e-02
3.027303393313702795e-01	4.467364576758954542e-02
3.193211180511356106e-01	4.486121225005119256e-02
3.359118967709009418e-01	3.745557591520754653e-02
3.525026754906662729e-01	2.710767019926545521e-02
3.690934542104316041e-01	1.689857349657202662e-02
3.856842329301969352e-01	1.018029733140329851e-02
4.022750116499622663e-01	7.463950823821903502e-03
4.188657903697275975e-01	5.590363132566874248e-03
4.354565690894929286e-01	3.123189613349558382e-03
4.520473478092582598e-01	2.058105629535460831e-03
4.686381265290235909e-01	1.472971243711250619e-03
4.852289052487889220e-01	1.273705769523315922e-03
5.018196839685542532e-01	1.198833657409781621e-03
5.184104626883195843e-01	1.161104523468719802e-03
5.350012414080849155e-01	1.392708157923317099e-03
5.515920201278503576e-01	1.684398797892374495e-03
5.681827988476156888e-01	1.888518907740723571e-03
5.847735775673810199e-01	2.032591386451282258e-03
6.013643562871463510e-01	2.535704301114141603e-03
6.179551350069116822e-01	2.001557256289370097e-03
6.345459137266770133e-01	2.107483803887746140e-03
6.511366924464423445e-01	2.073692920359063076e-03
6.677274711662076756e-01	1.584001809060676556e-03
6.843182498859730067e-01	1.292897395884264923e-03
7.009090286057383379e-01	1.103876020065238262e-03
7.174998073255036690e-01	8.723009742054399582e-04
7.340905860452690002e-01	9.475861196179980600e-04
7.506813647650343313e-01	5.763566402986996769e-04
7.672721434847996624e-01	4.218842549023637850e-04
7.838629222045649936e-01	4.609923095396734820e-04
8.004537009243303247e-01	3.614276210559740033e-04
8.170444796440956559e-01	3.955942522489539642e-04
8.336352583638609870e-01	3.749845471685339790e-04
8.502260370836263181e-01	2.285471469147182168e-04
8.668168158033916493e-01	1.961863635986214481e-04
8.834075945231569804e-01	1.736975517432071668e-04
8.999983732429223116e-01	2.196703120595261849e-04
9.165891519626876427e-01	1.782466858917517750e-04
9.331799306824529738e-01	1.389842205683541995e-04
9.497707094022184160e-01	2.051324576603532864e-04
9.663614881219837471e-01	2.267478306453093334e-04
9.829522668417490783e-01	2.420122147415556190e-04
9.995430455615144094e-01	2.473829408384770967e-04
1.016133824281279630e+00	2.339278902251089461e-04
1.032724603001045072e+00	2.213312161187946936e-04
1.049315381720810292e+00	2.057913599476779551e-04
1.065906160440575734e+00	1.799044504954501250e-04
1.082496939160340954e+00	1.130103854311750714e-04
1.099087717880106396e+00	7.037258989375440473e-05
1.115678496599871616e+00	5.951728451962307791e-05
1.132269275319637059e+00	1.099475063138753841e-04
1.148860054039402279e+00	1.032792897833092853e-04
1.165450832759167499e+00	9.382873544108117302e-05
1.182041611478932941e+00	6.130678007185080053e-06
1.198632390198698161e+00	-3.482765794746017214e-06
1.215223168918463603e+00	2.645099921629664810e-05
1.231813947638229045e+00	1.964712678525535965e-05
1.248404726357994265e+00	-3.648696253686569167e-05
1.264995505077759708e+00	-1.541858499550176787e-05
