# q in nm-1,I,poisson_error
1.289159550736672655e-01,1.636302050781250000e+04,3.122254897250212835e+01
1.430153771324736700e-01,1.585830957031250000e+04,1.666680561164222851e+01
1.571147991912800745e-01,1.546513574218750000e+04,1.265337293000226815e+01
1.712142212500865068e-01,1.495590820312500000e+04,1.051222888496561048e+01
1.853136433088929114e-01,1.421225195312500000e+04,8.849014016796587612e+00
1.994130653676993159e-01,1.357632226562500000e+04,7.592843303998114024e+00
2.135124874265057482e-01,1.301134179687500000e+04,6.657931508031405876e+00
2.276119094853121527e-01,1.229634570312500000e+04,6.463741903658539734e+00
2.417113315441185573e-01,1.168823144531250000e+04,6.222824940109648040e+00
2.558107536029249340e-01,1.104692675781250000e+04,5.973242628284147315e+00
2.699101756617313663e-01,1.039675292968750000e+04,5.754141720331072740e+00
2.840095977205377986e-01,9.807756835937500000e+03,5.417927821486777873e+00
2.981090197793442309e-01,9.222247070312500000e+03,4.945344671262214220e+00
3.122084418381506077e-01,8.701892578125000000e+03,4.618325245249969235e+00
3.263078638969570400e-01,8.143884277343750000e+03,4.324141182185520016e+00
3.404072859557634168e-01,7.610249511718750000e+03,4.046239250766190843e+00
3.545067080145698490e-01,7.117499511718750000e+03,3.802598562903694912e+00
3.686061300733762813e-01,6.631308105468750000e+03,3.586380459855229130e+00
3.827055521321826581e-01,6.136961425781250000e+03,3.374617268359038746e+00
3.968049741909890904e-01,5.701184082031250000e+03,3.186736025899636449e+00
4.109043962497954672e-01,5.256784179687500000e+03,3.001565515050423461e+00
4.250038183086018995e-01,4.857163085937500000e+03,2.823026840629891510e+00
4.391032403674083318e-01,4.485635742187500000e+03,2.656745359082074209e+00
4.532026624262147085e-01,4.127033691406250000e+03,2.504952308058148613e+00
4.673020844850211408e-01,3.780469482421875000e+03,2.357943332086286148e+00
4.814015065438275731e-01,3.459218261718750000e+03,2.278239472634204343e+00
4.955009286026339499e-01,3.183156250000000000e+03,2.205471848832178949e+00
5.096003506614403822e-01,2.906117187500000000e+03,2.108279614582127426e+00
5.236997727202468145e-01,2.664480712890625000e+03,2.013097903874192962e+00
5.377991947790532468e-01,2.444026611328125000e+03,1.912582258552318448e+00
5.518986168378596791e-01,2.234577880859375000e+03,1.810619933069949727e+00
5.659980388966660003e-01,2.036421875000000000e+03,1.718028457939903220e+00
5.800974609554724326e-01,1.864684936523437500e+03,1.634941321851636653e+00
5.941968830142788649e-01,1.702461669921875000e+03,1.553544771320163109e+00
6.082963050730851862e-01,1.546561523437500000e+03,1.443505216320597251e+00
