# q in nm-1,I,poisson_error
1.289159550736672655e-01,2.401298437500000000e+04,3.782332427942354514e+01
1.430153771324736700e-01,1.875811718750000000e+04,1.812669295429293825e+01
1.571147991912800745e-01,1.440549218750000000e+04,1.221218929479789850e+01
1.712142212500865068e-01,1.136714257812500000e+04,9.164611941740126611e+00
1.853136433088929114e-01,9.189128906250000000e+03,7.115421506705563282e+00
1.994130653676993159e-01,7.691834960937500000e+03,5.715159699356262557e+00
2.135124874265057482e-01,6.666883300781250000e+03,4.765842944863727837e+00
2.276119094853121527e-01,5.881490722656250000e+03,4.470331167902440228e+00
2.417113315441185573e-01,5.309099609375000000e+03,4.193953731984779054e+00
2.558107536029249340e-01,4.841597656250000000e+03,3.954428925705082420e+00
2.699101756617313663e-01,4.490945312500000000e+03,3.781817492806740511e+00
2.840095977205377986e-01,4.217649414062500000e+03,3.552904998442028006e+00
2.981090197793442309e-01,3.981611572265625000e+03,3.249433297100965845e+00
3.122084418381506077e-01,3.802934082031250000e+03,3.053072002418256048e+00
3.263078638969570400e-01,3.634569824218750000e+03,2.888754011272247180e+00
3.404072859557634168e-01,3.506629394531250000e+03,2.746610194165451713e+00
3.545067080145698490e-01,3.395764892578125000e+03,2.626549307891042684e+00
3.686061300733762813e-01,3.301561279296875000e+03,2.530558691653773007e+00
3.827055521321826581e-01,3.208594482421875000e+03,2.440086517458358362e+00
3.968049741909890904e-01,3.137016845703125000e+03,2.363861131212727784e+00
4.109043962497954672e-01,3.065371826171875000e+03,2.292077572176460354e+00
4.250038183086018995e-01,3.009197509765625000e+03,2.222025294293239472e+00
4.391032403674083318e-01,2.955636962890625000e+03,2.156569465158984844e+00
4.532026624262147085e-01,2.907939208984375000e+03,2.102679538728956299e+00
4.673020844850211408e-01,2.852704345703125000e+03,2.048277781696339339e+00
4.814015065438275731e-01,2.804683593750000000e+03,2.051409198228722808e+00
4.955009286026339499e-01,2.773662353515625000e+03,2.058729619125156063e+00
5.096003506614403822e-01,2.728617919921875000e+03,2.042880570271722984e+00
5.236997727202468145e-01,2.693743164062500000e+03,2.024121977917397341e+00
5.377991947790532468e-01,2.661221191406250000e+03,1.995756703144360156e+00
5.518986168378596791e-01,2.630224121093750000e+03,1.964381773562172029e+00
5.659980388966660003e-01,2.603529296875000000e+03,1.942574373730178827e+00
5.800974609554724326e-01,2.579465820312500000e+03,1.922933571280064813e+00
5.941968830142788649e-01,2.555212890625000000e+03,1.903262077697518873e+00
6.082963050730851862e-01,2.533630371093750000e+03,1.847593131823096479e+00
6.223957271318916185e-01,2.519143066406250000e+03,1.781419797059152099e+00
6.364951491906980507e-01,2.499046386718750000e+03,1.737229222756151659e+00
6.505945712495044830e-01,2.476747070312500000e+03,1.701437722628766469e+00
6.646939933083109153e-01,2.456837890625000000e+03,1.675511127477628204e+00
6.787934153671173476e-01,2.435248535156250000e+03,1.645879978163539592e+00
6.928928374259236689e-01,2.417332763671875000e+03,1.617157697856512089e+00
7.069922594847301012e-01,2.399843505859375000e+03,1.589996295105273960e+00
7.210916815435365335e-01,2.377028808593750000e+03,1.562671109355085131e+00
7.351911036023429658e-01,2.357016845703125000e+03,1.537294689984872731e+00
7.492905256611493980e-01,2.335388427734375000e+03,1.512148058935653072e+00
7.633899477199558303e-01,2.315985351562500000e+03,1.488903540301615536e+00
7.774893697787621516e-01,2.305125732421875000e+03,1.468785243395759554e+00
7.915887918375685839e-01,2.279976318359375000e+03,1.445265205920541307e+00
8.056882138963750162e-01,2.268059570312500000e+03,1.426732299595466769e+00
8.197876359551814485e-01,2.248680175781250000e+03,1.406135562166093811e+00
8.338870580139878808e-01,2.228028076171875000e+03,1.385892532498373741e+00
8.479864800727942020e-01,2.216229003906250000e+03,1.368719879856947985e+00
8.620859021316006343e-01,2.206380615234375000e+03,1.352210653687148101e+00
8.761853241904070666e-01,2.184264160156250000e+03,1.333527332069669002e+00
8.902847462492134989e-01,2.171828613281250000e+03,1.317706749839743452e+00
9.043841683080199312e-01,2.153846679687500000e+03,1.300357643190068302e+00
9.184835903668263635e-01,2.141317138671875000e+03,1.285626571276377694e+00
9.325830124256326847e-01,2.124438232421875000e+03,1.269615189407520939e+00
9.466824344844391170e-01,2.109414550781250000e+03,1.254472796819221747e+00
9.607818565432455493e-01,2.094168212890625000e+03,1.239665476722787041e+00
9.748812786020519816e-01,2.082299560546875000e+03,1.226314614641877299e+00
9.889807006608584139e-01,2.068016601562500000e+03,1.213268493126721914e+00
1.003080122719664846e+00,2.052551025390625000e+03,1.200866602323714227e+00
1.017179544778471278e+00,2.035939086914062500e+03,1.211353080440262797e+00
1.031278966837277711e+00,2.023281616210937500e+03,1.215795389793749459e+00
1.045378388896084143e+00,2.011749389648437500e+03,1.211009191811993402e+00
1.059477810954890575e+00,1.993968383789062500e+03,1.204803821506922112e+00
1.073577233013696786e+00,1.977198974609375000e+03,1.199215775862428890e+00
1.087676655072503218e+00,1.966058837890625000e+03,1.194648372737343589e+00
1.101776077131309650e+00,1.952854980468750000e+03,1.189062633621912779e+00
1.115875499190116082e+00,1.938236328125000000e+03,1.182829509209779584e+00
1.129974921248922293e+00,1.925318359375000000e+03,1.176926922424220257e+00
1.144074343307728725e+00,1.916401000976562500e+03,1.150277322729190699e+00
1.158173765366535157e+00,1.909379150390625000e+03,1.125941153703545305e+00
1.172273187425341590e+00,1.896860839843750000e+03,1.112010446093690597e+00
1.186372609484148022e+00,1.886151855468750000e+03,1.101558026243915300e+00
1.200472031542954454e+00,1.873662353515625000e+03,1.091707100488020332e+00
1.214571453601760886e+00,1.864349609375000000e+03,1.083203314973925524e+00
1.228670875660567319e+00,1.851255004882812500e+03,1.074245423414170730e+00
1.242770297719373751e+00,1.837906616210937500e+03,1.065129828910294396e+00
1.256869719778180183e+00,1.827733520507812500e+03,1.057069638363717035e+00
1.270969141836986616e+00,1.813500976562500000e+03,1.048123298828330219e+00
