# q in nm-1,I,poisson_error
1.289159550736672655e-01,8.818939453125000000e+03,2.292159365989161657e+01
1.430153771324736700e-01,7.115806152343750000e+03,1.116441580519786214e+01
1.571147991912800745e-01,5.754394531250000000e+03,7.718435475261416379e+00
1.712142212500865068e-01,4.778046875000000000e+03,5.941739919321232577e+00
1.853136433088929114e-01,4.024529785156250000e+03,4.708916899351586416e+00
1.994130653676993159e-01,3.539613037109375000e+03,3.876959619869699836e+00
2.135124874265057482e-01,3.186711181640625000e+03,3.294956127574764526e+00
2.276119094853121527e-01,2.900425048828125000e+03,3.139256530819390711e+00
2.417113315441185573e-01,2.691333251953125000e+03,2.986049008482771328e+00
2.558107536029249340e-01,2.519421142578125000e+03,2.852592850803193247e+00
2.699101756617313663e-01,2.390527832031250000e+03,2.759170860231266342e+00
2.840095977205377986e-01,2.285432861328125000e+03,2.615366688194590949e+00
2.981090197793442309e-01,2.183093505859375000e+03,2.406103692997502375e+00
3.122084418381506077e-01,2.114714111328125000e+03,2.276687731988833452e+00
3.263078638969570400e-01,2.049898681640625000e+03,2.169453058172586157e+00
3.404072859557634168e-01,1.996050292968750000e+03,2.072229407034163806e+00
3.545067080145698490e-01,1.954267456054687500e+03,1.992547778055370644e+00
3.686061300733762813e-01,1.912530761718750000e+03,1.926020689671009478e+00
3.827055521321826581e-01,1.867510498046875000e+03,1.861569876883429897e+00
3.968049741909890904e-01,1.838823852539062500e+03,1.809812580326969567e+00
4.109043962497954672e-01,1.804367553710937500e+03,1.758531776275371383e+00
4.250038183086018995e-01,1.775424682617187500e+03,1.706769104822235539e+00
4.391032403674083318e-01,1.750315185546875000e+03,1.659571782862227618e+00
4.532026624262147085e-01,1.730007934570312500e+03,1.621826795166614987e+00
4.673020844850211408e-01,1.703775024414062500e+03,1.582947786851109040e+00
4.814015065438275731e-01,1.672862426757812500e+03,1.584311173950756491e+00
4.955009286026339499e-01,1.661947265625000000e+03,1.593606631661147466e+00
5.096003506614403822e-01,1.633607543945312500e+03,1.580685507222236108e+00
5.236997727202468145e-01,1.616392578125000000e+03,1.567949275487596328e+00
5.377991947790532468e-01,1.603779907226562500e+03,1.549314217687084438e+00
5.518986168378596791e-01,1.584727905273437500e+03,1.524778858828152561e+00
5.659980388966660003e-01,1.565740112304687500e+03,1.506455381760144707e+00
5.800974609554724326e-01,1.556119140625000000e+03,1.493553644368664779e+00
5.941968830142788649e-01,1.539914916992187500e+03,1.477520179304594228e+00
6.082963050730851862e-01,1.523011474609375000e+03,1.432472512525208019e+00
6.223957271318916185e-01,1.515387817382812500e+03,1.381661838994536096e+00
6.364951491906980507e-01,1.505485839843750000e+03,1.348367568097184055e+00
6.505945712495044830e-01,1.493240844726562500e+03,1.321113543822035163e+00
6.646939933083109153e-01,1.478280029296875000e+03,1.299682959464686594e+00
6.787934153671173476e-01,1.464102783203125000e+03,1.276181095191911030e+00
6.928928374259236689e-01,1.449422973632812500e+03,1.252223171190143480e+00
7.069922594847301012e-01,1.439951538085937500e+03,1.231625291232501196e+00
7.210916815435365335e-01,1.424681640625000000e+03,1.209788051205366477e+00
7.351911036023429658e-01,1.413815673828125000e+03,1.190617270429969343e+00
7.492905256611493980e-01,1.403717285156250000e+03,1.172342703236015193e+00
7.633899477199558303e-01,1.388561767578125000e+03,1.152872426658045457e+00
7.774893697787621516e-01,1.381856811523437500e+03,1.137214806377153664e+00
7.915887918375685839e-01,1.360638793945312500e+03,1.116487334363211126e+00
8.056882138963750162e-01,1.356708984375000000e+03,1.103465168659813811e+00
8.197876359551814485e-01,1.346892211914062500e+03,1.088252732228093045e+00
8.338870580139878808e-01,1.332732299804687500e+03,1.071866447904669339e+00
8.479864800727942020e-01,1.323472045898437500e+03,1.057705230880910952e+00
8.620859021316006343e-01,1.312943847656250000e+03,1.043103079299282143e+00
8.761853241904070666e-01,1.300746337890625000e+03,1.029071772712148336e+00
8.902847462492134989e-01,1.294213623046875000e+03,1.017206158320852261e+00
9.043841683080199312e-01,1.283366577148437500e+03,1.003762093406014966e+00
9.184835903668263635e-01,1.273281494140625000e+03,9.913717499991080429e-01
9.325830124256326847e-01,1.261484863281250000e+03,9.783428656588170069e-01
9.466824344844391170e-01,1.252234497070312500e+03,9.665472945123639859e-01
9.607818565432455493e-01,1.241621704101562500e+03,9.545383260710321727e-01
9.748812786020519816e-01,1.233826538085937500e+03,9.439682014242712915e-01
9.889807006608584139e-01,1.225901611328125000e+03,9.341308712580778106e-01
1.003080122719664846e+00,1.214116333007812500e+03,9.235872435273446701e-01
1.017179544778471278e+00,1.202803955078125000e+03,9.310773928504765262e-01
1.031278966837277711e+00,1.194236572265625000e+03,9.340658611074170725e-01
1.045378388896084143e+00,1.187585571289062500e+03,9.304497901837974760e-01
1.059477810954890575e+00,1.175765869140625000e+03,9.251616587889751608e-01
1.073577233013696786e+00,1.164796630859375000e+03,9.204436441062593399e-01
1.087676655072503218e+00,1.156789794921875000e+03,9.163662254402207274e-01
1.101776077131309650e+00,1.147828369140625000e+03,9.116081765343527765e-01
1.115875499190116082e+00,1.139864379882812500e+03,9.070795548173243850e-01
1.129974921248922293e+00,1.129445800781250000e+03,9.014277751643675618e-01
1.144074343307728725e+00,1.122447631835937500e+03,8.803237449337638632e-01
1.158173765366535157e+00,1.118405761718750000e+03,8.617262016896954924e-01
1.172273187425341590e+00,1.111066040039062500e+03,8.510617441586227905e-01
1.186372609484148022e+00,1.102775146484375000e+03,8.422917098621347520e-01
1.200472031542954454e+00,1.094123046875000000e+03,8.342449066857008377e-01
1.214571453601760886e+00,1.088271362304687500e+03,8.275893564855745232e-01
1.228670875660567319e+00,1.078496093750000000e+03,8.199354748910420154e-01
1.242770297719373751e+00,1.071165771484375000e+03,8.131472174365852457e-01
1.256869719778180183e+00,1.062497924804687500e+03,8.059557621667090554e-01
1.270969141836986616e+00,1.052087036132812500e+03,7.983242531249826746e-01
1.285068563895793048e+00,1.044483398437500000e+03,7.920178720517286886e-01
1.299167985954599480e+00,1.036466674804687500e+03,7.854790265796260940e-01
1.313267408013405912e+00,1.028572753906250000e+03,7.789959802865087379e-01
1.327366830072212345e+00,1.017828735351562500e+03,7.717483730328136282e-01
1.341466252131018777e+00,1.010537292480468750e+03,7.656367966947624781e-01
1.355565674189825209e+00,1.002022766113281250e+03,7.581442891018700392e-01
1.369665096248631642e+00,9.940957031250000000e+02,7.499884846415467710e-01
1.383764518307438074e+00,9.844131469726562500e+02,7.394247537130100856e-01
1.397863940366244506e+00,9.751297607421875000e+02,7.282562578517128848e-01
1.411963362425050494e+00,9.672985229492187500e+02,7.181225177393729675e-01
1.426062784483856927e+00,9.587885131835937500e+02,7.086865790826828437e-01
1.440162206542663359e+00,9.517074584960937500e+02,7.000160822771711588e-01
1.454261628601469791e+00,9.432816162109375000e+02,6.912608324468637599e-01
1.468361050660276224e+00,9.365283203125000000e+02,6.826782736767237347e-01
1.482460472719082656e+00,9.270219726562500000e+02,6.734478397789913640e-01
1.496559894777889088e+00,9.180897216796875000e+02,6.648433473087215217e-01
1.510659316836695520e+00,9.112105102539062500e+02,6.574752836874064865e-01
1.524758738895501953e+00,9.012579345703125000e+02,6.499087787702170216e-01
1.538858160954308385e+00,8.923813476562500000e+02,6.432529927465325814e-01
1.552957583013114817e+00,8.869678344726562500e+02,6.379644245815158099e-01
1.567057005071921250e+00,8.753161010742187500e+02,6.306623774823884032e-01
1.581156427130727682e+00,8.676029052734375000e+02,6.245009926835549674e-01
1.595255849189534114e+00,8.579818115234375000e+02,6.178544935238960978e-01
1.609355271248340546e+00,8.489725341796875000e+02,6.115410576940875087e-01
1.623454693307146979e+00,8.421455078125000000e+02,6.061754540807591241e-01
1.637554115365953411e+00,8.342709350585937500e+02,6.003559594574935376e-01
1.651653537424759843e+00,8.262175292968750000e+02,5.945070733263415619e-01
1.665752959483566276e+00,8.185975341796875000e+02,5.889035143146663653e-01
1.679852381542372708e+00,8.078031616210937500e+02,5.822916229498126262e-01
1.693951803601179140e+00,7.992180786132812500e+02,5.764706212429555610e-01
1.708051225659985572e+00,7.919480590820312500e+02,5.712600263612823692e-01
1.722150647718791561e+00,7.840560913085937500e+02,5.657816579158322368e-01
1.736250069777597993e+00,7.759691772460937500e+02,5.604103650726088848e-01
1.750349491836404425e+00,7.673357543945312500e+02,5.547127439722762121e-01
1.764448913895210858e+00,7.590354614257812500e+02,5.493648979483883865e-01
1.778548335954017290e+00,7.536278076171875000e+02,5.449220971026513816e-01
1.792647758012823722e+00,7.442107543945312500e+02,5.392027855739658371e-01
1.806747180071630154e+00,7.350461425781250000e+02,5.335079021381625708e-01
1.820846602130436587e+00,7.255447387695312500e+02,5.278466115244021539e-01
1.834946024189243019e+00,7.189305419921875000e+02,5.232433243161600522e-01
1.849045446248049451e+00,7.111953735351562500e+02,5.182545750906876192e-01
1.863144868306855884e+00,7.028934326171875000e+02,5.130359560771111660e-01
1.877244290365662316e+00,6.955083618164062500e+02,5.081231391506008110e-01
1.891343712424468748e+00,6.874569091796875000e+02,5.031818283340168119e-01
1.905443134483275180e+00,6.790924072265625000e+02,4.980380465271516122e-01
1.919542556542081613e+00,6.719616699218750000e+02,4.934686988573339650e-01
1.933641978600888045e+00,6.634143676757812500e+02,4.883253488056042979e-01
1.947741400659694477e+00,6.556303100585937500e+02,4.835679091734047530e-01
1.961840822718500910e+00,6.486829223632812500e+02,4.791183342075035489e-01
1.975940244777307342e+00,6.421126708984375000e+02,4.747927510124392847e-01
1.990039666836113774e+00,6.349757080078125000e+02,4.703333558390396241e-01
2.004139088894920206e+00,6.264018554687500000e+02,4.653668215922806550e-01
2.018238510953726195e+00,6.211735229492187500e+02,4.610714929720642341e-01
2.032337933012532627e+00,6.132467651367187500e+02,4.559867238967597047e-01
2.046437355071339059e+00,6.040914916992187500e+02,4.508401822587690400e-01
2.060536777130145492e+00,5.990772094726562500e+02,4.472900266843282679e-01
2.074636199188951924e+00,5.910899658203125000e+02,4.426657058185504146e-01
2.088735621247758356e+00,5.837789306640625000e+02,4.416851994562054906e-01
2.102835043306564788e+00,5.765656127929687500e+02,4.429016106139925246e-01
2.116934465365371221e+00,5.688012084960937500e+02,4.414025521619416303e-01
2.131033887424177653e+00,5.630756835937500000e+02,4.402573168810016147e-01
2.145133309482984085e+00,5.552342529296875000e+02,4.379590646526141384e-01
2.159232731541790518e+00,5.490036621093750000e+02,4.360723123289384495e-01
2.173332153600596950e+00,5.433311767578125000e+02,4.340736020588081279e-01
2.187431575659403382e+00,5.354947509765625000e+02,4.311938706050506553e-01
2.201530997718209814e+00,5.293784179687500000e+02,4.287883853909580933e-01
2.215630419777016247e+00,5.223533935546875000e+02,4.233055763380314529e-01
2.229729841835822679e+00,5.172945556640625000e+02,4.152272273141066616e-01
2.243829263894629111e+00,5.107130432128906250e+02,4.093796767049609486e-01
2.257928685953435544e+00,5.054470520019531250e+02,4.044191033129117541e-01
2.272028108012241976e+00,4.992131347656250000e+02,3.995355540181399490e-01
2.286127530071048408e+00,4.935074157714843750e+02,3.951176419995365285e-01
2.300226952129854840e+00,4.881177062988281250e+02,3.909582264105780913e-01
2.314326374188661273e+00,4.815285644531250000e+02,3.864039482234002953e-01
2.328425796247467705e+00,4.763229675292968750e+02,3.825911580858386563e-01
2.342525218306274137e+00,4.699117736816406250e+02,3.783055340689647217e-01
2.356624640365080570e+00,4.649571533203125000e+02,3.747348932160766144e-01
2.370724062423887002e+00,4.600716247558593750e+02,3.712787911418371500e-01
2.384823484482692990e+00,4.546931152343750000e+02,3.676037428452905709e-01
2.398922906541499422e+00,1.701046264648437500e+03,7.081437756891427737e-01
2.413022328600305855e+00,4.425475463867187500e+02,3.597571592767789261e-01
2.427121750659112287e+00,4.374290161132812500e+02,3.563232378992209903e-01
2.441221172717918719e+00,4.326658020019531250e+02,3.530772637395290237e-01
2.455320594776725152e+00,4.274712524414062500e+02,3.496659908316600007e-01
2.469420016835531584e+00,4.232523803710937500e+02,3.466731907139285473e-01
2.483519438894338016e+00,4.183051147460937500e+02,3.434300450470146870e-01
2.497618860953144448e+00,4.126420288085937500e+02,3.398670538702601718e-01
