# q in nm-1,I,poisson_error
1.289159550736672655e-01,7.155930468750000000e+04,6.529345765083077424e+01
1.430153771324736700e-01,6.581956250000000000e+04,3.395481915353748548e+01
1.571147991912800745e-01,6.216006640625000000e+04,2.536793885273214855e+01
1.712142212500865068e-01,6.052303906250000000e+04,2.114700006320894943e+01
1.853136433088929114e-01,5.985844531250000000e+04,1.816043076057320960e+01
1.994130653676993159e-01,6.197231250000000000e+04,1.622229187634568248e+01
2.135124874265057482e-01,6.591106250000000000e+04,1.498502334196534136e+01
2.276119094853121527e-01,7.120161718750000000e+04,1.555395614599153298e+01
2.417113315441185573e-01,8.064754687500000000e+04,1.634589565175226156e+01
2.558107536029249340e-01,9.163124218750000000e+04,1.720327571230797759e+01
2.699101756617313663e-01,1.015040234375000000e+05,1.797932108173338150e+01
2.840095977205377986e-01,1.080930468750000000e+05,1.798652305956020570e+01
2.981090197793442309e-01,1.092751640625000000e+05,1.702310991794234951e+01
3.122084418381506077e-01,1.067129531250000000e+05,1.617283742318945272e+01
3.263078638969570400e-01,9.800603125000000000e+04,1.500066384392495422e+01
3.404072859557634168e-01,8.468035156250000000e+04,1.349719344927417630e+01
3.545067080145698490e-01,6.924740625000000000e+04,1.186092524240696022e+01
3.686061300733762813e-01,5.421133203125000000e+04,1.025420156670829996e+01
3.827055521321826581e-01,4.130885156250000000e+04,8.755268109882063499e+00
3.968049741909890904e-01,3.136146875000000000e+04,7.474150375602442331e+00
4.109043962497954672e-01,2.371291796875000000e+04,6.375001945229505473e+00
4.250038183086018995e-01,1.815060156250000000e+04,5.457192327183581604e+00
4.391032403674083318e-01,1.414683398437500000e+04,4.718105209933947108e+00
4.532026624262147085e-01,1.122159667968750000e+04,4.130549467084995818e+00
4.673020844850211408e-01,9.071110351562500000e+03,3.652504689963977480e+00
4.814015065438275731e-01,7.527094238281250000e+03,3.360656417585772715e+00
4.955009286026339499e-01,6.435906250000000000e+03,3.136009911521004057e+00
5.096003506614403822e-01,5.573123046875000000e+03,2.919584034105335846e+00
5.236997727202468145e-01,4.930165039062500000e+03,2.738352513947435618e+00
5.377991947790532468e-01,4.415453125000000000e+03,2.570720091769313154e+00
5.518986168378596791e-01,3.967678710937500000e+03,2.412669363188140625e+00
5.659980388966660003e-01,3.579683593750000000e+03,2.277816793069614043e+00
5.800974609554724326e-01,3.241113281250000000e+03,2.155492663596905611e+00
5.941968830142788649e-01,2.928392089843750000e+03,2.037509866643630208e+00
6.082963050730851862e-01,2.635763916015625000e+03,1.884464745272573793e+00
6.223957271318916185e-01,2.391510498046875000e+03,1.735705545264341065e+00
6.364951491906980507e-01,2.158571044921875000e+03,1.614556286895002302e+00
6.505945712495044830e-01,1.943876708984375000e+03,1.507334491548406596e+00
6.646939933083109153e-01,1.749705322265625000e+03,1.413974548681087740e+00
6.787934153671173476e-01,1.579340087890625000e+03,1.325453233988564739e+00
6.928928374259236689e-01,1.428743652343750000e+03,1.243258328241496624e+00
7.069922594847301012e-01,1.294984863281250000e+03,1.167984433641806818e+00
7.210916815435365335e-01,1.177694213867187500e+03,1.099934186681200465e+00
7.351911036023429658e-01,1.078660400390625000e+03,1.039963721189750112e+00
7.492905256611493980e-01,9.933139648437500000e+02,9.861842983336840396e-01
7.633899477199558303e-01,9.171945190429687500e+02,9.369780654662679398e-01
7.774893697787621516e-01,8.544804077148437500e+02,8.942564646683951457e-01
7.915887918375685839e-01,7.937305297851562500e+02,8.527445576998051724e-01
8.056882138963750162e-01,7.456365966796875000e+02,8.180482452422394024e-01
8.197876359551814485e-01,7.025450439453125000e+02,7.859600602127212454e-01
8.338870580139878808e-01,6.598076782226562500e+02,7.541850699046910300e-01
8.479864800727942020e-01,6.238488159179687500e+02,7.261845049105231098e-01
8.620859021316006343e-01,5.907941894531250000e+02,6.997167697013869647e-01
8.761853241904070666e-01,5.586723022460937500e+02,6.744161504184472689e-01
8.902847462492134989e-01,5.318538208007812500e+02,6.520819538111024549e-01
9.043841683080199312e-01,5.049146728515625000e+02,6.295995996744565559e-01
9.184835903668263635e-01,4.805199584960937500e+02,6.090179457920226191e-01
9.325830124256326847e-01,4.577920227050781250e+02,5.893648025123933154e-01
9.466824344844391170e-01,4.373510437011718750e+02,5.712094640182048266e-01
9.607818565432455493e-01,4.184277954101562500e+02,5.541266276147748249e-01
9.748812786020519816e-01,4.004253845214843750e+02,5.377632765850210994e-01
9.889807006608584139e-01,3.857075500488281250e+02,5.239731167510627285e-01
1.003080122719664846e+00,3.725693054199218750e+02,5.116244983096034371e-01
1.017179544778471278e+00,3.629280395507812500e+02,5.114446330196934509e-01
1.031278966837277711e+00,3.586681518554687500e+02,5.118924424946070806e-01
1.045378388896084143e+00,3.551558227539062500e+02,5.088268109412581452e-01
1.059477810954890575e+00,3.406929626464843750e+02,4.980108687622618602e-01
1.073577233013696786e+00,3.231928100585937500e+02,4.848451229981073918e-01
1.087676655072503218e+00,3.081290283203125000e+02,4.729423370990011311e-01
1.101776077131309650e+00,2.943181152343750000e+02,4.616132519269802170e-01
1.115875499190116082e+00,2.851825866699218750e+02,4.537120577456538184e-01
1.129974921248922293e+00,2.766183776855468750e+02,4.461067073266924976e-01
1.144074343307728725e+00,2.698414916992187500e+02,4.316321144460474324e-01
1.158173765366535157e+00,2.629299621582031250e+02,4.178204170828658248e-01
1.172273187425341590e+00,2.562201232910156250e+02,4.086935294434329013e-01
1.186372609484148022e+00,2.513833160400390625e+02,4.021492781605956468e-01
1.200472031542954454e+00,2.450308380126953125e+02,3.947942880116399600e-01
1.214571453601760886e+00,2.407686767578125000e+02,3.892658596994348352e-01
1.228670875660567319e+00,2.354769592285156250e+02,3.831286316766686628e-01
1.242770297719373751e+00,2.310822601318359375e+02,3.776801409049582170e-01
1.256869719778180183e+00,2.263285217285156250e+02,3.719776319959504085e-01
1.270969141836986616e+00,2.211305541992187500e+02,3.659972967600597649e-01
1.285068563895793048e+00,2.176221466064453125e+02,3.615228582655741207e-01
1.299167985954599480e+00,2.147064971923828125e+02,3.575028666676833278e-01
1.313267408013405912e+00,2.112975158691406250e+02,3.530733192433920808e-01
1.327366830072212345e+00,2.076354827880859375e+02,3.485693134592531273e-01
1.341466252131018777e+00,2.052266540527343750e+02,3.450352837963969188e-01
1.355565674189825209e+00,2.024822998046875000e+02,3.408055097882793372e-01
1.369665096248631642e+00,1.999047851562500000e+02,3.363195397006299991e-01
1.383764518307438074e+00,1.972776794433593750e+02,3.310124014142423188e-01
1.397863940366244506e+00,1.952075958251953125e+02,3.258377244678405393e-01
1.411963362425050494e+00,1.933726806640625000e+02,3.210819124767195776e-01
1.426062784483856927e+00,1.913409576416015625e+02,3.165896910023321964e-01
1.440162206542663359e+00,1.898748474121093750e+02,3.126727272183503215e-01
1.454261628601469791e+00,1.883062133789062500e+02,3.088542551806917058e-01
1.468361050660276224e+00,1.870381317138671875e+02,3.050848930174730467e-01
1.482460472719082656e+00,1.856875305175781250e+02,3.014049087819544170e-01
1.496559894777889088e+00,1.838044738769531250e+02,2.974779620887175735e-01
1.510659316836695520e+00,1.828363189697265625e+02,2.945108496416625754e-01
1.524758738895501953e+00,1.814843597412109375e+02,2.916402412395833754e-01
1.538858160954308385e+00,1.806092376708984375e+02,2.893853504069060500e-01
1.552957583013114817e+00,1.801240081787109375e+02,2.874936908571892880e-01
1.567057005071921250e+00,1.790927429199218750e+02,2.852682606850915903e-01
1.581156427130727682e+00,1.779159240722656250e+02,2.828004062479912983e-01
1.595255849189534114e+00,1.771373291015625000e+02,2.807386555431156117e-01
1.609355271248340546e+00,1.763033294677734375e+02,2.786820900674176205e-01
1.623454693307146979e+00,1.763117828369140625e+02,2.773610263123705288e-01
1.637554115365953411e+00,1.759154663085937500e+02,2.756812778540286279e-01
1.651653537424759843e+00,1.748877410888671875e+02,2.735202645780212549e-01
1.665752959483566276e+00,1.740294952392578125e+02,2.715315716720581030e-01
1.679852381542372708e+00,1.736127929687500000e+02,2.699470661025462070e-01
1.693951803601179140e+00,1.726599731445312500e+02,2.679417212288216499e-01
1.708051225659985572e+00,1.728383331298828125e+02,2.668735262405398379e-01
1.722150647718791561e+00,1.721717529296875000e+02,2.651283974151283918e-01
1.736250069777597993e+00,1.722395629882812500e+02,2.640282366392592284e-01
1.750349491836404425e+00,1.717582244873046875e+02,2.624425136913677847e-01
1.764448913895210858e+00,1.711233215332031250e+02,2.608461741104126097e-01
1.778548335954017290e+00,1.710840606689453125e+02,2.596335016975610532e-01
1.792647758012823722e+00,1.702013854980468750e+02,2.578610203370384490e-01
1.806747180071630154e+00,1.699352111816406250e+02,2.565223553870047968e-01
1.820846602130436587e+00,1.697337493896484375e+02,2.553052370160615037e-01
1.834946024189243019e+00,1.694807891845703125e+02,2.540507349944268189e-01
1.849045446248049451e+00,1.694211273193359375e+02,2.529486980762897796e-01
1.863144868306855884e+00,1.688405303955078125e+02,2.514440644733987873e-01
1.877244290365662316e+00,1.687411804199218750e+02,2.502812547474798088e-01
1.891343712424468748e+00,1.687392272949218750e+02,2.492930778320284757e-01
1.905443134483275180e+00,1.682678070068359375e+02,2.479125918481323576e-01
1.919542556542081613e+00,1.682704162597656250e+02,2.469398746813521450e-01
1.933641978600888045e+00,1.680566253662109375e+02,2.457789205562817825e-01
1.947741400659694477e+00,1.680402984619140625e+02,2.448131206336913446e-01
1.961840822718500910e+00,1.676828308105468750e+02,2.435963850389802343e-01
1.975940244777307342e+00,1.674191589355468750e+02,2.424381776498839847e-01
1.990039666836113774e+00,1.676434478759765625e+02,2.416687467062758332e-01
2.004139088894920206e+00,1.670469055175781250e+02,2.403190016916441907e-01
2.018238510953726195e+00,1.674126739501953125e+02,2.393624103667917613e-01
2.032337933012532627e+00,1.671880035400390625e+02,2.380877827710208838e-01
2.046437355071339059e+00,1.665184020996093750e+02,2.367022193725127899e-01
2.060536777130145492e+00,1.672570495605468750e+02,2.363415199695510782e-01
2.074636199188951924e+00,1.669020080566406250e+02,2.352230323256034039e-01
2.088735621247758356e+00,1.666716613769531250e+02,2.360040796888502324e-01
2.102835043306564788e+00,1.663283843994140625e+02,2.378844388835564261e-01
2.116934465365371221e+00,1.665120239257812500e+02,2.388236729358517996e-01
2.131033887424177653e+00,1.671917419433593750e+02,2.399001824188996268e-01
2.145133309482984085e+00,1.668785705566406250e+02,2.401019411785642321e-01
2.159232731541790518e+00,1.662927246093750000e+02,2.399979373862857757e-01
2.173332153600596950e+00,1.664478759765625000e+02,2.402537391635216346e-01
2.187431575659403382e+00,1.666201629638671875e+02,2.405241601620081715e-01
2.201530997718209814e+00,1.665784301757812500e+02,2.405300116574520808e-01
2.215630419777016247e+00,1.663783111572265625e+02,2.389021688165584301e-01
2.229729841835822679e+00,1.661825408935546875e+02,2.353474782068907811e-01
2.243829263894629111e+00,1.664177703857421875e+02,2.336886575065584004e-01
2.257928685953435544e+00,1.659697265625000000e+02,2.317438630164164459e-01
2.272028108012241976e+00,1.665599060058593750e+02,2.307797168063684401e-01
2.286127530071048408e+00,1.663746185302734375e+02,2.294156889074480399e-01
2.300226952129854840e+00,1.661378784179687500e+02,2.280879736069379715e-01
2.314326374188661273e+00,1.662773132324218750e+02,2.270633206530737747e-01
2.328425796247467705e+00,1.667176666259765625e+02,2.263471102154802350e-01
2.342525218306274137e+00,1.666263580322265625e+02,2.252715558474710777e-01
2.356624640365080570e+00,1.667541503906250000e+02,2.244171128973722618e-01
2.370724062423887002e+00,1.668553924560546875e+02,2.235926437959003255e-01
2.384823484482692990e+00,1.668266143798828125e+02,2.226657185706550079e-01
2.398922906541499422e+00,1.420017211914062500e+03,6.470087698758970607e-01
2.413022328600305855e+00,1.664529418945312500e+02,2.206354066430132321e-01
2.427121750659112287e+00,1.668303222656250000e+02,2.200532604662215619e-01
2.441221172717918719e+00,1.663230438232421875e+02,2.189120461048653377e-01
2.455320594776725152e+00,1.665478057861328125e+02,2.182575920436232997e-01
2.469420016835531584e+00,1.670385284423828125e+02,2.177854462530836033e-01
2.483519438894338016e+00,1.671712188720703125e+02,2.171063098196934216e-01
2.497618860953144448e+00,1.669566955566406250e+02,2.161843394349100000e-01
2.511718283011950881e+00,1.675048828125000000e+02,2.157925881842886751e-01
2.525817705070757313e+00,1.673433837890625000e+02,2.149505189337301003e-01
2.539917127129563745e+00,1.669788513183593750e+02,2.139930163679157615e-01
2.554016549188370178e+00,1.674625244140625000e+02,2.135593316730421687e-01
2.568115971247176610e+00,1.672345581054687500e+02,2.127391424817205445e-01
2.582215393305983042e+00,1.676766815185546875e+02,2.122873135137167411e-01
2.596314815364789474e+00,1.677743377685546875e+02,2.116927823085285598e-01
2.610414237423595907e+00,1.677451629638671875e+02,2.109806647646163269e-01
2.624513659482402339e+00,1.675875701904296875e+02,2.127926989175041861e-01
2.638613081541208771e+00,1.677980346679687500e+02,2.140132891028147244e-01
2.652712503600015204e+00,1.673278656005859375e+02,2.144225137822740879e-01
