q	I	I err	
nm\+(-1)	cm\+(-1)	cm\+(-1)	
	GC-K 54mu-d		
0.035514728	1161.86612477042	200.62445426127
0.039460808	979.188109386201	32.615682402301
0.043406888	747.472705495791	10.3680256050387
0.047352968	583.775282786133	6.02712511806052
0.051299048	450.42089440039	4.43628179405273
0.055245128	348.972625582588	3.38126943641779
0.059191212	276.329022279847	2.64416558331315
0.063137292	222.674044514298	2.12720028333018
0.067083372	181.494359771366	1.73459271749174
0.071029456	149.827704643345	1.42834871002293
0.074975536	125.143719608727	1.19150460005369
0.078921616	105.250151883387	1.00053629870676
0.082867696	89.4825862244421	0.84642742845987
0.086813776	76.7370230834149	0.723983154434888
0.090759856	66.2176087242521	0.624538054736598
0.094705936	57.5724430070167	0.542339764033749
0.098652016	50.3033169109416	0.473378213746423
0.102598096	44.3181452315222	0.416754891461114
0.106544176	39.2360885316354	0.368587672580877
0.110490256	34.9873428608244	0.328333168358448
0.114436344	31.2800847253334	0.293437388815329
0.118382424	28.0667501920367	0.263421659145715
0.122328504	25.3214864419072	0.237543805771356
0.126274584	22.9499660501974	0.215232817856635
0.130220664	20.9036167872152	0.196075734053967
0.134166744	19.1048306938888	0.179196069504477
0.138112832	17.5100274130447	0.164244576435666
0.142058912	16.1103714937462	0.151203087492542
0.146004992	14.8885428753049	0.139720583224409
0.149951072	13.8164877209765	0.129679838990074
0.153897152	12.8441407956644	0.120546609803395
0.157843232	11.9775058369783	0.112383554296598
0.161789312	11.1968484720141	0.105125546064277
0.165735392	10.5080670294691	0.0987019345101888
0.169681472	9.87863498313707	0.0928625790484714
0.173627552	9.31681583957048	0.087629468981541
0.177573632	8.81397284605143	0.082908929799985
0.181519712	8.35989902987354	0.0786187829374877
0.185465792	7.95037162194045	0.0748153175042658
0.189411872	7.58343070539834	0.0713818201932359
0.193357952	7.24056670954007	0.0681608811019794
0.197304032	6.92878090316233	0.0652203446209949
0.201250112	6.64434334886717	0.0625145563944538
0.205196192	6.39667112518202	0.0601829813332483
0.209142272	6.15642950078424	0.0579543038666319
0.213088352	5.93391678247993	0.0558737460785071
0.217034432	5.74125556199122	0.0540566340393166
0.220980512	5.55495867299445	0.0523322857943153
0.224926592	5.36830480592986	0.050609492462228
0.228872688	5.21101892825277	0.0491312165774371
0.232818768	5.06557095215981	0.0477807133174187
0.236764848	4.93405917647582	0.0465560744679437
0.240710928	4.80582011132113	0.0453406847371054
0.244657008	4.68247818752013	0.0441874068750764
0.248603088	4.58228798504669	0.0432515074592781
0.252549168	4.47783783488899	0.0422842013323886
0.256495248	4.39109373803255	0.0414307252774588
0.260441328	4.30211994804655	0.0405965423518735
0.264387408	4.21709926270059	0.0397867219486233
0.268333488	4.13913699930482	0.039040194144645
0.272279584	4.06420882536953	0.0383340531302834
0.276225664	3.99456355670107	0.0376867533077581
0.280171744	3.92914775197335	0.037064148272517
0.284117824	3.86724380886145	0.0364709098274577
0.288063904	3.81380774140049	0.0359686641187174
0.292009984	3.76719797574155	0.0355186710984169
0.295956064	3.71478701182283	0.0350202277774277
0.299902144	3.6668374404336	0.0345675828350441
0.303848224	3.61972344769034	0.0341070851636953
0.307794304	3.57222819128354	0.033664524508854
0.311740384	3.52942718625548	0.033247870295172
0.315686464	3.48929555379783	0.032862282877206
0.319632544	3.45232530634836	0.032520094790832
0.323578624	3.41683516750611	0.0321860657453908
0.327524704	3.37936464144086	0.0318368017742165
0.331470784	3.34831573966601	0.0315372966259432
0.335416864	3.3158412967335	0.0312279772687177
0.339362944	3.28461078139776	0.0309365476096655
0.343309024	3.25650298067545	0.0306785273516998
0.347255104	3.22794226808111	0.0304027278929329
0.351201184	3.20308723104469	0.0301580056802318
0.355147264	3.17822757998081	0.0299281326661063
0.359093344	3.15578034849986	0.0297196300998171
0.363039424	3.13261626440315	0.0294998489517719
0.366985504	3.10814432542626	0.029264732146234
0.370931584	3.0864204729137	0.0290552815913288
0.374877664	3.06342505719764	0.0288425353603862
0.378823744	3.04436604749633	0.0286556663767945
0.382769824	3.02441489790137	0.0284627720520982
0.386715904	3.00449431887507	0.0282762708031003
0.390661984	2.9849422540826	0.0280865740787668
0.394608064	2.96853667684129	0.0279362771979901
0.398554144	2.95192138423441	0.0277800681123377
0.402500224	2.93726636615736	0.0276333181458026
0.406446304	2.91905021892473	0.0274642321214371
0.410392384	2.901686646868	0.0273016371754674
0.414338464	2.88607282311263	0.0271522781332267
0.418284544	2.87038111513886	0.0270028646029506
0.422230624	2.85470613123867	0.0268460659056133
0.426176704	2.83725961690252	0.0266822196903274
0.430122784	2.82558555953526	0.0265720957256949
0.434068864	2.81342751639845	0.0264558784637407
0.438014944	2.79723835942556	0.0262926448988139
0.441961024	2.7846778032662	0.0261775550051168
0.445907104	2.7729466022512	0.0260650362656225
0.449853184	2.75859180558501	0.0259321368073833
0.453799296	2.74671821294941	0.0258231935800661
0.457745376	2.73432188429067	0.0257033054144798
0.461691456	2.7224066347976	0.0255891637765095
0.465637536	2.71316087817233	0.0255026668633754
0.469583616	2.70157444258395	0.0253950052066128
0.473529696	2.68928432286626	0.0252771688017786
0.477475776	2.67895086249413	0.0251798867687227
0.481421856	2.66947408365901	0.0250911922421571
0.485367936	2.65467321436424	0.0249508472323035
0.489314016	2.64610806944966	0.0248648974296968
0.493260096	2.6356355078076	0.0247650092082339
0.497206176	2.62405861261692	0.0246614013322106
0.501152256	2.61488241623861	0.0245719336928308
0.505098336	2.60272100250168	0.0244581530150394
0.509044416	2.59322693456255	0.0243667098605442
0.512990496	2.58549235921764	0.0242874762106022
